id,school_id,user_id,provider,model,feature,input_tokens,output_tokens,total_tokens,cost_cents,latency_ms,success,error_message,anonymization_level,student_count,pii_detected,audit_id,created_at
421ad12e-6cff-468e-f46c-80bfe84e43c6,219980cb-3f77-4414-faeb-5f70b1472a36,a42b2722-7734-4405-0c22-446c42c745a6,sample_text_1858,sample_text_3627,sample_text_520,144,355,989,205,62,false,sample_text_1807,sample_text_4574,2891,true,sample_text_6546,2026-01-04T06:14:01.345Z
e54ec33e-67fe-4980-02c8-3495f0d20dc9,1c4d8e9f-05af-4567-fc15-60738335dd73,9ca5b97a-581a-426f-5855-e9d8f7ff593e,sample_text_1215,sample_text_7616,sample_text_132,355,772,965,435,654,true,sample_text_8795,sample_text_5785,8344,false,sample_text_4239,2026-04-05T01:03:43.621Z
fa962b00-5ce2-4ce1-4e1b-28f852c41ea7,a41d4030-6171-4181-a953-5d0104c592fd,b7705253-1e18-42f1-0afc-2b6274dab835,sample_text_1068,sample_text_612,sample_text_8836,762,694,84,241,289,false,sample_text_3975,sample_text_1910,2224,false,sample_text_1873,2026-02-12T00:11:36.526Z
1e49af37-5982-4157-8576-50aad42628b3,3a19d003-2447-4c77-d435-69866c42a3e8,b3cce349-8baa-4be4-699b-5bcb770ce3ee,sample_text_1247,sample_text_3291,sample_text_630,349,716,987,24,571,true,sample_text_5812,sample_text_9122,5345,false,sample_text_6934,2026-01-27T14:54:57.828Z
33208ab7-e921-4511-1942-2b77d893071a,343e4691-d779-4742-a9b6-c828fbb55b61,5f0e0e3b-73f1-4a77-51cf-5fbf17821968,sample_text_2069,sample_text_5201,sample_text_9217,108,59,542,376,627,false,sample_text_7325,sample_text_7797,7521,false,sample_text_9365,2025-10-13T07:43:44.022Z
d4096aac-7202-4c09-af78-c783194a891a,13f8f388-7de1-4383-f922-a0d8a397e76c,69a3de1e-73c3-44fd-9084-4b6930400716,sample_text_7143,sample_text_7659,sample_text_8076,56,222,408,291,170,false,sample_text_9000,sample_text_5551,4768,true,sample_text_9813,2025-07-21T23:48:07.972Z
4b3b3304-7bc4-48e0-73c0-6c84ff32a038,4c81bc97-321d-48c5-d316-8243b2e8187e,6896c4ae-3126-41a9-f5ce-75b07edb2171,sample_text_3421,sample_text_6458,sample_text_7162,830,755,855,494,166,false,sample_text_1845,sample_text_9035,4223,false,sample_text_178,2026-01-23T00:28:48.873Z
e6b3ac79-649e-4b70-93ac-6586761ce770,aed83b90-feeb-480d-e57c-176768104c81,8a49b490-d77f-45cf-6e8f-c409be4bfd67,sample_text_1473,sample_text_6817,sample_text_9104,363,115,365,390,981,true,sample_text_8083,sample_text_4190,5987,true,sample_text_3543,2025-08-28T22:34:56.373Z
0a96f501-f1b8-488e-c066-e528bb170b6b,32a1daeb-123e-4dbe-b622-aea59b73722d,d7b2c06e-df6e-4f73-73b2-c6113fc80898,sample_text_6992,sample_text_9902,sample_text_594,801,273,529,98,648,true,sample_text_6174,sample_text_7416,7960,false,sample_text_8170,2025-10-19T15:37:03.037Z
3311e808-0eda-4773-90a7-926cf9faad03,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,b741c5ab-a7c3-4a30-dcd4-0604cb5f1e6e,sample_text_393,sample_text_827,sample_text_4022,143,884,610,876,607,true,sample_text_1784,sample_text_619,2838,false,sample_text_4836,2025-07-07T05:33:24.216Z
