id,school_id,monthly_token_limit,monthly_cost_limit_cents,current_month_tokens,current_month_cost_cents,period_start,alert_threshold_percent,alert_sent_at,created_at,updated_at
f66c2720-6271-459c-b001-d2ee784dd337,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,895,874,730,964,2026-02-05T22:03:27.600Z,520,2025-08-21T21:07:12.679Z,2025-05-19T06:26:01.164Z,2025-10-02T13:02:40.644Z
294a54ea-b589-4dc8-4791-f6b36f79dce5,545d1106-2b34-4e12-24da-7673253ca1d7,899,676,954,486,2025-07-14T03:17:15.029Z,807,2025-05-18T17:01:16.282Z,2026-04-05T08:14:13.786Z,2025-07-22T04:35:22.806Z
31fbb27a-92dc-467a-dcc8-d71f146dc80d,314cdd92-266e-488d-cf88-6e18f6db8ca6,451,572,509,851,2025-12-08T07:30:43.532Z,798,2025-11-03T18:18:32.415Z,2026-04-04T03:50:30.580Z,2025-07-28T12:11:03.167Z
6cf10f57-3db3-457e-bb98-66b752bc32ec,7cc152ca-2334-4efd-8c58-4327009bcdb6,938,81,280,4,2025-10-03T22:09:19.399Z,723,2026-02-28T04:13:43.730Z,2026-03-21T15:01:25.365Z,2026-02-22T11:56:18.758Z
18a92782-2450-4567-dd61-008243feac29,3a19d003-2447-4c77-d435-69866c42a3e8,390,979,750,842,2026-01-14T06:54:40.656Z,487,2025-06-15T06:53:39.122Z,2025-11-17T00:29:16.054Z,2025-06-03T04:26:17.010Z
f0399f40-edfb-4e8f-dca4-cfd2c6297952,aed83b90-feeb-480d-e57c-176768104c81,519,265,122,894,2026-01-19T22:20:52.381Z,655,2025-11-04T11:00:32.535Z,2025-07-15T11:00:40.440Z,2025-10-27T21:50:21.835Z
2835b2e9-8052-4b54-ce01-329d00cc5a89,930d6afd-4225-4c87-6245-39cb7a7a0d26,443,990,478,179,2025-09-10T03:56:36.572Z,192,2026-01-04T21:26:33.697Z,2026-01-29T14:49:20.760Z,2026-02-28T15:19:11.099Z
60dbedec-40c6-450c-1f1c-e1ae44277415,1c4d8e9f-05af-4567-fc15-60738335dd73,312,688,459,655,2026-02-08T15:15:22.525Z,443,2025-05-19T22:29:48.050Z,2025-10-17T23:26:49.754Z,2025-12-14T09:10:29.681Z
406be02f-61dd-43f1-7315-3310eb918b58,13f8f388-7de1-4383-f922-a0d8a397e76c,770,732,290,627,2025-06-10T07:51:05.642Z,161,2026-02-15T18:33:54.920Z,2025-06-25T22:40:45.710Z,2026-01-29T22:55:20.081Z
b2f92363-3963-46f3-fe0f-06ed321ad0a3,00e48b05-b6cb-410f-1525-6668c44bdb40,871,300,262,632,2025-09-19T21:40:04.389Z,222,2025-12-18T06:35:02.452Z,2026-02-24T11:09:30.274Z,2025-06-04T00:01:38.431Z
52d39ded-ba5d-4a75-ff72-ef61468e914b,b9a92613-a49f-49ac-02ac-12389b77c55c,940,35,533,833,2026-04-02T22:06:11.945Z,532,2025-12-11T17:16:47.793Z,2025-11-08T17:14:06.997Z,2025-10-27T04:34:22.707Z
42164b3b-02ef-44ab-0150-3ba9331d3956,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,672,886,650,474,2025-08-19T21:04:44.314Z,1,2025-06-07T15:06:37.914Z,2026-03-10T05:14:09.480Z,2025-07-28T19:57:40.761Z
54645a6a-bfde-4ce4-1c73-88def0bcfbbf,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,788,322,765,602,2025-08-28T17:09:47.813Z,685,2025-05-17T06:11:43.637Z,2025-06-21T19:22:50.543Z,2025-10-18T02:51:00.134Z
149b38ea-9038-42a5-81b7-b7c8b6c4086b,76fb7096-3d5c-4180-3013-e7a55c8b02bb,77,179,23,829,2025-10-24T02:37:46.019Z,902,2025-11-28T19:42:52.368Z,2025-05-03T11:14:41.700Z,2025-06-28T09:27:12.742Z
