id,created_at,updated_at,school_id,name,type,provider,connection_config,sync_enabled,sync_frequency_hours,last_sync_at,next_sync_at,sync_status,sync_error,field_mappings,records_synced,last_record_count,is_active,connected_at,disconnected_at,metadata,access_token_encrypted,refresh_token_encrypted,token_expires_at
4da7d8bd-866e-498d-d02c-ec6a1ef0a8f7,2025-07-30T22:26:49.114Z,2025-05-01T11:11:54.129Z,219980cb-3f77-4414-faeb-5f70b1472a36,Green Leaf Bistro,sample_text_5561,sample_text_8787,sample_text_325,true,187,2025-11-28T19:02:04.897Z,2025-12-10T08:07:37.512Z,sample_text_9452,sample_text_7442,sample_text_7405,902,4536,false,2025-07-23T07:46:56.074Z,2026-01-22T14:32:21.230Z,sample_text_5662,sample_text_3943,sample_text_8024,2025-09-14T23:05:57.122Z
9033d54d-adb8-4c3c-8e00-6b1e7edb2d23,2025-06-29T20:03:52.012Z,2025-08-05T10:35:06.088Z,f3e56a9d-701d-4138-17b4-468168466ac1,Cloud Nine Cafe,sample_text_2981,sample_text_3312,sample_text_5981,false,639,2025-06-06T19:24:37.800Z,2025-08-27T21:59:06.294Z,sample_text_3176,sample_text_7408,sample_text_379,854,5116,true,2025-07-27T03:53:54.791Z,2025-08-11T08:53:31.568Z,sample_text_6246,sample_text_6764,sample_text_9909,2025-10-19T03:26:41.745Z
cda0512d-a6ff-4192-5c5f-a973bd7bd3c5,2025-07-02T09:17:56.682Z,2025-05-19T14:31:26.191Z,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,Firebird Pizza,sample_text_6456,sample_text_6264,sample_text_9434,false,216,2025-11-04T19:46:54.180Z,2025-07-06T12:06:43.707Z,sample_text_5904,sample_text_657,sample_text_4902,151,7010,true,2025-07-26T06:07:31.405Z,2026-01-29T06:44:15.551Z,sample_text_7767,sample_text_8796,sample_text_2182,2025-08-25T21:41:21.366Z
ada2ccdf-e557-4aa4-fdf9-37c0f0667428,2025-12-06T04:05:12.975Z,2025-08-15T11:07:03.499Z,c0b731c7-72d6-4cbc-7d82-0603fe27478a,The Rustic Fork,sample_text_7614,sample_text_2225,sample_text_1154,true,496,2025-06-20T22:25:42.576Z,2026-01-30T23:40:00.066Z,sample_text_3494,sample_text_720,sample_text_1558,69,6261,false,2025-09-04T18:43:02.201Z,2026-01-29T11:55:18.924Z,sample_text_6147,sample_text_7549,sample_text_4401,2025-08-25T15:00:32.866Z
c4141f97-5e27-4b33-0bf4-2f27d4da5d15,2025-12-03T11:47:16.017Z,2026-03-08T01:53:49.460Z,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,Luna Restaurant,sample_text_4864,sample_text_8674,sample_text_4037,false,791,2026-01-19T01:01:52.440Z,2025-10-02T05:21:10.106Z,sample_text_5593,sample_text_2829,sample_text_7513,345,348,false,2025-07-17T03:30:55.184Z,2025-09-08T17:49:59.011Z,sample_text_73,sample_text_3032,sample_text_2860,2025-05-15T18:22:25.166Z
84c5ca44-c486-4bc1-15b7-9a982f8771bb,2026-03-16T20:52:55.551Z,2026-01-28T00:28:27.547Z,16c0f045-ad9e-4d23-8922-374a2534b914,The Local Table,sample_text_4327,sample_text_3177,sample_text_1617,true,68,2025-12-14T05:58:11.702Z,2026-03-29T18:57:24.975Z,sample_text_4077,sample_text_3722,sample_text_8567,260,31,true,2026-03-18T09:22:58.780Z,2025-04-27T05:14:51.320Z,sample_text_3207,sample_text_2019,sample_text_5416,2026-03-19T16:33:35.341Z
5b95313a-6c03-4454-e4fa-3c33382680e3,2025-10-18T22:34:37.523Z,2025-05-07T00:39:16.624Z,eb97341d-2385-4175-9a86-c3256608e18e,Firebird Pizza,sample_text_3311,sample_text_5713,sample_text_9685,false,379,2025-10-19T14:37:40.719Z,2025-10-31T12:12:00.061Z,sample_text_1256,sample_text_2432,sample_text_2594,530,2382,true,2026-02-11T15:35:02.570Z,2025-11-04T06:53:59.886Z,sample_text_1923,sample_text_5075,sample_text_5646,2025-12-04T11:46:09.442Z
758806c0-525f-4bde-64b4-d586733bbf36,2026-03-07T02:46:28.567Z,2025-11-01T00:54:51.890Z,921679af-a07e-442d-b254-00f81e5f665d,Oak & Vine,sample_text_7626,sample_text_8079,sample_text_7643,true,198,2026-01-03T23:46:41.661Z,2025-09-01T18:15:42.313Z,sample_text_5344,sample_text_2307,sample_text_2040,651,754,true,2025-09-12T23:17:55.486Z,2025-10-01T13:28:17.101Z,sample_text_2321,sample_text_5233,sample_text_9956,2025-09-06T09:31:07.246Z
dc904175-347a-4715-35d5-f9d315c23487,2025-12-21T15:08:25.923Z,2025-05-12T12:39:24.635Z,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,The Rustic Fork,sample_text_8671,sample_text_4529,sample_text_5756,true,963,2025-09-04T03:51:21.366Z,2025-05-13T22:03:37.209Z,sample_text_8524,sample_text_2895,sample_text_7635,588,9766,false,2025-10-01T13:37:35.107Z,2026-01-09T03:28:44.755Z,sample_text_5624,sample_text_8034,sample_text_6608,2025-05-27T23:44:18.405Z
3f9d7880-3721-49c6-b70f-afc7e2b691a8,2025-08-01T23:00:49.171Z,2025-07-23T16:59:45.565Z,469af544-bb26-4d4c-4b28-ab15c4812991,Blue Ocean Sushi,sample_text_6336,sample_text_4896,sample_text_1274,true,506,2026-01-22T00:39:07.832Z,2025-04-17T06:55:50.986Z,sample_text_3172,sample_text_239,sample_text_3307,760,1199,true,2025-05-21T14:13:23.687Z,2025-09-09T10:40:53.121Z,sample_text_822,sample_text_9489,sample_text_7757,2025-11-28T02:52:56.343Z
