id,school_id,scheduled_report_id,report_type,format,title,generated_by,generated_at,generation_time_ms,storage_path,file_size_bytes,expires_at,delivery_status,delivered_at,delivery_error,filters,record_count,created_at
d24f06dd-d1d4-4026-74ff-68f157c6126e,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,7143354f-b151-4634-c60b-c973e4f80db9,sample_text_2379,sample_text_2250,sample_text_5107,f539e4fe-f94c-4ef3-3fb4-e80fa324f1e0,2025-06-21T01:00:54.431Z,856,sample_text_3946,371,2025-08-29T19:09:00.592Z,sample_text_4297,2025-04-18T16:20:10.839Z,sample_text_5799,sample_text_5993,3190,2025-12-21T12:52:51.232Z
9ba2421c-5635-421e-7b38-425d01d0f60c,521d1584-627e-495f-893e-82a12f5344be,63eb864d-d6b2-46f4-65a7-8459624407b5,sample_text_7367,sample_text_3661,sample_text_7,c6cf45f0-06b6-4054-eebd-007bd9edeab1,2025-04-20T21:19:47.030Z,295,sample_text_3695,331,2025-08-28T21:22:52.727Z,sample_text_6222,2025-10-06T07:22:24.545Z,sample_text_730,sample_text_7296,5240,2025-11-15T08:02:02.900Z
cd81cb47-f099-4bab-1ef7-0dea764d55d3,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,a2d85dfe-b21a-4c7f-447a-da8f39df4e15,sample_text_8529,sample_text_9319,sample_text_6579,7b17e8f9-a7b4-43d2-e8f2-2111fb4c1f19,2026-01-01T08:05:39.637Z,600,sample_text_789,609,2026-03-12T06:32:37.118Z,sample_text_3141,2025-07-20T17:17:52.032Z,sample_text_2252,sample_text_9884,7978,2026-03-17T05:30:20.393Z
6da564c5-867a-4bd1-f449-2aab9f2df01b,4c81bc97-321d-48c5-d316-8243b2e8187e,79e5f044-5921-46af-e429-0e1abee3f676,sample_text_3312,sample_text_4051,sample_text_987,561e1e75-0871-44a0-72ed-67851c0225d4,2025-07-24T03:39:15.389Z,771,sample_text_2709,77,2025-06-26T03:14:34.811Z,sample_text_7254,2026-04-03T23:31:52.556Z,sample_text_6143,sample_text_471,9612,2025-05-18T13:07:50.629Z
7dbace70-e667-4e37-6718-6a80ee20558a,76fb7096-3d5c-4180-3013-e7a55c8b02bb,79e5f044-5921-46af-e429-0e1abee3f676,sample_text_905,sample_text_287,sample_text_9589,ef3d55ee-ffbe-4aa1-4861-66a205d6d96b,2025-11-08T17:13:52.048Z,585,sample_text_1837,943,2025-05-23T07:50:46.014Z,sample_text_5048,2025-06-26T00:28:51.068Z,sample_text_8660,sample_text_7618,1574,2025-08-22T20:42:43.786Z
ac811b54-6a38-4c8b-b182-e144699afeb7,76fb7096-3d5c-4180-3013-e7a55c8b02bb,860a3465-bb03-456b-7d27-77ba03fcc17c,sample_text_2019,sample_text_2318,sample_text_1414,7f17e032-d88e-49db-59cd-8e9542ad77dc,2025-08-13T04:10:26.265Z,811,sample_text_7673,872,2025-11-29T12:36:26.196Z,sample_text_5267,2025-06-02T01:59:02.089Z,sample_text_1385,sample_text_9392,1006,2025-10-06T18:55:49.993Z
8d81a0cd-7420-42e7-cfa2-93953220f483,e536d26c-1212-499f-3401-979cc6978147,111c085a-6f28-4b2a-a108-52cd7549e417,sample_text_1282,sample_text_6990,sample_text_8792,8fa14b0a-5eff-4bf6-0c48-ba553d3d9ca8,2025-08-14T16:32:42.579Z,914,sample_text_3976,31,2025-11-11T18:37:35.368Z,sample_text_3019,2025-08-06T18:20:54.620Z,sample_text_8468,sample_text_2532,7008,2025-12-25T11:54:53.255Z
22f018c8-4fa8-4a45-9eae-86815990df6c,820e0d69-1dec-4fa2-7dff-4973e37417e7,b3ef1c79-3b28-4369-fe31-9b4db044e54c,sample_text_9573,sample_text_3635,sample_text_4991,e699eeb1-5e27-41cc-166b-e278a1179f4b,2025-06-06T22:46:04.763Z,254,sample_text_4445,249,2026-02-22T00:30:46.521Z,sample_text_5720,2025-10-16T18:39:20.307Z,sample_text_6910,sample_text_1416,6882,2025-12-11T23:38:37.895Z
61e9e3f1-d5e4-4b6e-313a-7d33c036935d,73370ee3-24e1-494c-b530-e79710873eeb,1e39a0ce-1646-4891-c972-7b4b426dc8c0,sample_text_9382,sample_text_9965,sample_text_4512,a56d28e2-89a9-46f0-589f-53aa56d819dd,2025-11-01T06:21:01.607Z,847,sample_text_1624,105,2025-10-10T20:44:24.130Z,sample_text_3770,2025-07-09T07:40:11.366Z,sample_text_3286,sample_text_6125,5575,2025-09-19T13:16:14.486Z
755a0662-1f98-41c3-747e-5fd2ca13cf6a,1c4d8e9f-05af-4567-fc15-60738335dd73,d17ef6c7-bb7a-410d-7fea-7091a4310c01,sample_text_9329,sample_text_7349,sample_text_5660,888b4277-1bcb-40ea-5fb3-a5e19b5da91a,2025-05-19T10:13:17.924Z,808,sample_text_7568,344,2025-05-03T02:42:01.985Z,sample_text_391,2026-03-15T22:17:10.710Z,sample_text_2012,sample_text_2138,5226,2025-08-06T10:16:28.648Z
fbb3ca40-a049-4189-c405-4ba5a9d57458,2a4e5e57-fab3-47be-aa17-438ff8cedd26,26e21ff5-5ea4-4398-fc41-06b008c463fb,sample_text_7532,sample_text_4712,sample_text_8889,76b81bf4-40f8-4434-6aba-66d35b13ce33,2026-02-25T09:05:29.123Z,773,sample_text_3300,190,2025-05-17T19:57:29.824Z,sample_text_6638,2025-12-19T04:31:22.999Z,sample_text_910,sample_text_4506,6235,2026-01-29T01:54:22.485Z
0b6520b3-3cb4-4156-3de2-62d98a44a05f,76fb7096-3d5c-4180-3013-e7a55c8b02bb,16f5452f-3b95-4155-847b-234597c78a49,sample_text_5402,sample_text_9292,sample_text_8788,e0369656-f562-4140-6ed2-8164f6c5225a,2026-02-02T02:57:13.571Z,274,sample_text_6398,657,2026-03-29T20:54:39.709Z,sample_text_7065,2025-11-21T22:10:49.622Z,sample_text_9151,sample_text_967,9772,2025-09-13T00:43:40.805Z
15f8d93d-a72d-42ad-08b8-e9e6bcc8b6cf,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,07cefc28-c0e9-4e03-60ca-167ed66c5758,sample_text_3453,sample_text_6825,sample_text_7890,8e191039-8e62-42f3-dc37-55e76c537023,2026-02-14T00:10:13.785Z,722,sample_text_4779,667,2025-06-15T13:25:39.979Z,sample_text_7172,2025-07-01T17:13:57.565Z,sample_text_3087,sample_text_2647,17,2025-06-25T00:33:16.436Z
42aa83ae-b875-4d16-543e-2bc7279faa02,b9a92613-a49f-49ac-02ac-12389b77c55c,bc095f5d-9b5b-432c-e143-a1ae9f1cba10,sample_text_262,sample_text_1154,sample_text_2458,ea9fe4b9-6fa3-47da-ed03-9e47a7054191,2025-07-10T22:10:57.008Z,835,sample_text_2915,674,2025-12-05T13:45:01.227Z,sample_text_4625,2026-04-08T14:58:38.877Z,sample_text_757,sample_text_8357,3584,2026-03-07T13:38:06.860Z
b36be090-e824-45e2-b0f6-5453c8641720,a41d4030-6171-4181-a953-5d0104c592fd,a75dbf2a-04b6-4aab-c6dc-711da46109cc,sample_text_5419,sample_text_6770,sample_text_4869,2615091f-80c6-4560-6ccb-62e1730cc7b2,2026-04-03T17:38:48.027Z,541,sample_text_5634,741,2025-06-25T15:47:17.061Z,sample_text_3675,2025-06-28T01:16:06.868Z,sample_text_1345,sample_text_5511,7574,2025-06-07T09:53:24.424Z
