id,created_at,updated_at,integration_id,name,category,base_monthly_cost,per_student_cost,per_sync_cost,per_record_cost,free_students_limit,free_syncs_limit,free_records_limit,starter_multiplier,pro_multiplier,enterprise_multiplier,is_active,metadata
7d814e99-1260-46ff-b990-1b0e29b0324a,2025-10-09T20:13:07.467Z,2025-10-06T17:43:04.450Z,classlink,Renaissance STAR,assessment,278.25,316.53,188.16,815.02,805,123,267,971.46,530.47,922.82,true,sample_text_9959
9912bf8b-1412-4ba7-7abb-8a328171185c,2026-01-29T03:03:48.673Z,2026-01-15T16:42:35.340Z,google_classroom,PowerSchool,sis,415.21,945.77,537.03,762.22,485,638,30,253.08,369.26,289.8,false,sample_text_2736
acbdd15e-fd90-4109-113f-5022f1889182,2026-02-05T12:06:31.306Z,2026-02-21T19:06:36.447Z,powerschool,NWEA MAP,assessment,842.71,42.8,908.85,430.21,996,240,864,67.92,622.33,852.35,false,sample_text_6229
9491d1ec-1659-42a1-df10-b73a2034ed11,2025-05-13T22:12:10.736Z,2025-08-11T04:49:37.183Z,renaissance_star,iReady,lms,832.41,19.06,375.24,74.82,332,432,949,2.89,373.7,948.38,false,sample_text_6606
646d7f19-d679-4d7d-5633-18dfa9fe077d,2025-06-24T12:32:17.680Z,2025-09-13T08:42:03.355Z,powerschool,NWEA MAP,lms,620.06,955.11,655.8,235.3,139,568,559,972.37,200.28,456.67,true,sample_text_5892
0b14ee7d-9abd-412d-9f26-177d05587743,2026-03-18T07:49:30.830Z,2026-03-31T23:00:46.999Z,renaissance_star,Renaissance STAR,lms,328.48,914.15,257.68,837,594,191,853,294,552.8,100.38,false,sample_text_6005
36e1711f-ee3e-49b8-c40a-c5f8edb5d480,2025-06-22T00:22:24.993Z,2025-08-28T01:08:10.473Z,canvas,Google Classroom,sis,694.34,160.39,212.57,141.73,107,341,771,489.36,4.7,196.37,false,sample_text_5903
8d83c19e-9a4e-4ac9-ef1e-8516ecca1c79,2025-07-12T00:37:43.780Z,2025-10-25T10:44:17.652Z,renaissance_star,Renaissance STAR,assessment,668.96,653.82,568.66,358.07,639,907,897,839.18,675.39,806.92,false,sample_text_8738
aceeee96-a654-48e5-5166-9c91aad078b6,2026-03-06T21:32:05.819Z,2025-10-15T20:12:27.633Z,iready,Google Classroom,sis,390.09,168.98,988.5,988.09,896,565,24,90.25,902.83,311.84,true,sample_text_8280
474e20ac-f2fb-43b3-5936-d37f52ca1774,2025-05-26T09:21:51.845Z,2026-01-13T06:06:00.488Z,clever,ClassLink,assessment,259.35,969.05,897.41,252.14,672,799,806,543.77,817.29,489.96,false,sample_text_5743
4ff78fe8-14cd-467e-06f5-5abb5279a450,2025-11-28T13:47:09.632Z,2025-06-29T05:04:46.015Z,renaissance_star,NWEA MAP,assessment,313.52,852.28,757.6,786.76,388,679,380,627.69,66.9,917.26,false,sample_text_9244
7067c9fe-ab3d-4bd8-5b75-f58d3038cda2,2025-09-05T08:28:55.197Z,2025-12-02T17:40:00.030Z,clever,PowerSchool,sis,870.14,487.64,139.94,223.91,444,822,255,689.47,573.33,128.25,true,sample_text_8349
bec6804f-64c6-48a1-dd0f-500b174447f9,2026-03-22T09:49:00.251Z,2025-10-03T13:52:37.653Z,clever,Renaissance STAR,sis,763.22,892.53,113.18,423.81,951,447,404,199.79,284.59,237.57,false,sample_text_5556
2b5b5192-782f-4120-319a-b8713119e9cb,2025-04-25T08:08:50.177Z,2025-05-18T18:07:25.985Z,classlink,PowerSchool,lms,221.84,970.78,492.94,516.23,784,669,222,894.6,50.06,813.47,false,sample_text_9060
cf9a8a69-5544-44c9-777a-b889981f6fac,2026-04-08T20:25:15.641Z,2025-09-19T01:51:37.003Z,classlink,PowerSchool,lms,964.14,135.78,779.33,486.96,551,803,353,289.25,743.4,956.69,true,sample_text_7009
4b735370-9912-4030-99b6-070ea4aa9551,2026-03-30T02:15:00.683Z,2026-03-23T12:38:28.827Z,clever,Canvas LMS,assessment,93.05,568.82,91.48,559.12,397,417,139,692.8,243.44,833.64,true,sample_text_1938
d2309994-baa7-4301-fc83-5df4b6f30d32,2025-10-04T10:37:49.574Z,2026-03-31T12:48:05.835Z,iready,Canvas LMS,lms,652.55,741.63,688.5,905.33,685,11,712,172.75,295.89,777.11,true,sample_text_7211
49a37aeb-a195-4f17-8942-5966ceec17dd,2025-08-02T05:21:08.187Z,2025-07-27T05:54:27.358Z,iready,Canvas LMS,sis,67.26,94.2,903.07,193.75,934,875,396,468.02,885.71,342.18,true,sample_text_6774
1ee26f08-252c-4c68-5856-f9c803579ca1,2025-06-06T02:31:31.906Z,2025-06-28T04:44:27.961Z,google_classroom,Clever,sis,621.05,265.8,551.15,560.78,820,35,934,840.64,399.26,676.39,false,sample_text_4860
a6e91a92-43fc-49ac-7e2d-b3c024a705fb,2025-07-06T14:06:31.975Z,2025-11-07T09:25:57.400Z,iready,Clever,lms,424.38,490.06,217.36,981.72,345,171,575,697.39,459.9,921.76,false,sample_text_8125
1343eb70-7212-4445-4a45-a5e6e6dfcf1e,2026-01-26T03:39:59.031Z,2025-08-13T11:55:44.383Z,iready,Renaissance STAR,sis,190.78,845.56,179.81,909.85,706,996,465,744.87,977.54,566.05,false,sample_text_9567
38447a6d-87a5-4b7b-259b-7828ad71c0cc,2025-11-15T13:35:26.500Z,2025-04-19T17:09:03.990Z,iready,Clever,sis,934.02,18.08,482.83,576.83,421,643,483,568.34,738.24,112.65,false,sample_text_2348
a6e9a720-fde1-4bad-2bd4-4ccd40db260d,2025-10-10T23:01:04.650Z,2025-05-18T08:23:24.496Z,canvas,Clever,lms,453.24,963.57,47.63,750.56,58,574,849,790.02,604.21,29.59,true,sample_text_7211
505787e8-31f8-43c0-980c-6e5fa3a566c3,2026-04-01T05:24:56.656Z,2026-01-21T18:55:58.329Z,classlink,ClassLink,assessment,581.98,189.62,97.03,178.25,288,690,375,598.91,334.98,644.97,false,sample_text_8758
96d85a14-fdf3-42bc-85aa-b2b6f929ced9,2026-04-04T21:30:59.655Z,2025-07-11T07:39:59.418Z,iready,NWEA MAP,sis,717.45,915.89,797.26,423.25,116,640,177,891.44,211.53,530.79,true,sample_text_2640
1aa2bd02-6761-47b8-04fc-4a4e6bbaecbb,2026-04-11T13:53:09.142Z,2025-09-15T23:46:46.749Z,canvas,Google Classroom,sis,980.43,472.78,506.79,192.86,656,833,559,109.71,804.96,155.67,false,sample_text_8248
cce79020-d4f2-4bdd-fde9-9889c597594c,2025-08-11T08:55:10.853Z,2025-06-04T07:01:07.245Z,powerschool,NWEA MAP,assessment,759.52,665.11,893.4,90.69,666,756,24,66.18,9.8,849.98,false,sample_text_645
