id,created_at,school_id,data_source_id,integration_id,billing_period_start,billing_period_end,students_synced,sync_operations,records_processed,base_cost,student_cost,sync_cost,record_cost,total_cost,discount_amount,discount_reason,invoiced,invoice_id,invoiced_at
d0a15879-8d38-4963-4145-752af6197b9c,2025-10-27T03:23:34.256Z,32a1daeb-123e-4dbe-b622-aea59b73722d,dc90b501-b502-40f5-d807-924e1428083d,sample_text_6753,2025-09-14T05:26:40.901Z,2026-04-10T15:00:39.023Z,695,707,638,983.47,253.23,119.38,143.72,879.9,375.54,sample_text_9241,false,sample_text_2473,2025-05-12T18:31:43.677Z
6479b2aa-0e76-42ed-58ce-211d1cd08977,2026-04-08T07:28:13.248Z,baeb778f-0236-4ea0-497b-a0d46e5c6619,4e5e66cb-a2d7-469b-1095-23ae5b6f30cb,sample_text_419,2025-12-25T07:12:34.474Z,2025-06-02T23:22:53.473Z,27,755,296,256.22,389.97,62.87,553.95,911.73,85.68,sample_text_1134,false,sample_text_8887,2025-11-21T18:29:47.370Z
23934e16-fe8a-4267-6a99-3e092c22e6c2,2025-12-13T07:38:21.873Z,baeb778f-0236-4ea0-497b-a0d46e5c6619,b5d8095c-c623-4094-52db-8be413654477,sample_text_6208,2025-04-23T16:44:57.013Z,2025-07-08T03:19:54.716Z,584,253,444,81.5,158.91,77.43,491.37,869.36,39.71,sample_text_2428,false,sample_text_6459,2026-02-12T07:18:00.325Z
4f95bb9f-5a77-411c-db80-3123cb09f847,2025-10-16T08:53:54.567Z,13f8f388-7de1-4383-f922-a0d8a397e76c,84d40715-045e-4f17-73fa-4416bebd67d4,sample_text_8087,2026-02-12T11:44:49.816Z,2026-01-31T10:28:35.975Z,767,487,706,345.06,839.94,575.52,951.84,129.93,889.53,sample_text_3848,false,sample_text_9695,2026-01-15T09:32:52.741Z
261e684a-f56c-4df2-c587-f969cdf8a191,2026-03-03T18:05:52.480Z,2d706e75-fd47-4d6b-cc14-10a1bf804d62,641acc8c-ff63-4644-733b-3aeee767a76d,sample_text_3533,2026-02-10T14:31:37.969Z,2025-12-12T13:32:37.597Z,545,599,525,61.67,434.24,361.46,399.93,122.46,106.02,sample_text_1813,false,sample_text_7181,2026-02-16T17:05:21.618Z
3cb3600c-9981-4892-941b-e86a77d8f05d,2025-04-27T11:42:26.246Z,219980cb-3f77-4414-faeb-5f70b1472a36,ada2ccdf-e557-4aa4-fdf9-37c0f0667428,sample_text_7336,2025-09-14T04:39:41.778Z,2026-01-25T20:06:23.710Z,789,846,197,187.79,860.89,486.03,728.41,574.14,679.48,sample_text_4050,false,sample_text_8506,2025-05-10T04:05:13.372Z
8bfadf53-fd89-4885-14ff-ace7feb6f916,2025-08-08T23:07:17.696Z,16c0f045-ad9e-4d23-8922-374a2534b914,6d23bbfd-cff5-405a-88e5-f9621b8e9356,sample_text_164,2025-06-26T19:32:09.526Z,2025-10-20T16:50:34.517Z,173,132,52,211.52,408.62,475.36,932.5,339.67,478.29,sample_text_2427,true,sample_text_5893,2025-10-25T08:11:06.298Z
4fb138a7-3456-4c40-9d11-a69fe189fa4e,2025-11-17T16:42:11.896Z,76fb7096-3d5c-4180-3013-e7a55c8b02bb,edfa7eba-68e3-43d2-6209-06391e3461d3,sample_text_5419,2026-03-27T11:50:16.487Z,2026-01-19T05:31:55.166Z,261,711,347,669.71,466.57,137.79,597.41,518.31,509.37,sample_text_7195,false,sample_text_5739,2025-06-27T09:55:56.744Z
69d5dcc2-f30a-438c-d5a6-b402be8ead38,2026-01-06T12:37:25.459Z,f3e56a9d-701d-4138-17b4-468168466ac1,5b95313a-6c03-4454-e4fa-3c33382680e3,sample_text_8990,2025-05-05T18:50:43.438Z,2025-08-06T04:42:40.383Z,976,683,193,488.05,632.66,107.64,498.72,486.91,219.9,sample_text_1944,true,sample_text_4442,2025-08-18T20:30:19.524Z
0b56524c-9869-4cfb-61bc-668382c60ef6,2025-08-01T23:35:48.648Z,b1160aa4-615e-46be-c33f-53b664f1618f,3cc00d58-32eb-4b92-0b84-ab67df685bc2,sample_text_3540,2025-07-06T02:44:36.876Z,2026-02-08T23:41:58.168Z,958,707,365,166.19,635.08,951.14,923.62,153.72,436.21,sample_text_4450,false,sample_text_5530,2025-05-23T04:47:29.911Z
