id,intervention_id,school_id,student_id,planned_sessions_per_week,planned_minutes_per_session,planned_total_weeks,planned_total_sessions,planned_total_minutes,actual_sessions_completed,actual_sessions_partial,actual_sessions_cancelled,actual_sessions_no_show,actual_total_minutes,session_completion_rate,dosage_compliance_rate,attendance_rate,average_fidelity_score,fidelity_trend,weeks_elapsed,sessions_behind_schedule,minutes_behind_schedule,on_track,average_engagement_rate,dosage_status,inference_flags,first_session_date,last_session_date,next_session_date,computed_at,created_at,updated_at
6c498858-2c9d-4525-a6c4-1c3776799704,5ecd0d1d-d5ec-46f2-6aca-86fd5dfdab07,16c0f045-ad9e-4d23-8922-374a2534b914,44e96aef-1775-4e8c-e285-02e0cadba8e3,697.61,57,341,906,473,12,904,23,604,166,53.01,10.33,88.32,264.75,declining,441,9,579,false,56.75,on_track,sample_text_8314,2026-03-22T19:59:19.524Z,2025-06-03T11:19:05.492Z,2025-04-17T07:31:26.769Z,2026-03-28T06:51:00.983Z,2025-08-01T09:55:07.741Z,2025-08-18T01:14:45.587Z
31735bf8-6f0a-4875-6f78-ea3fe68f8b1c,c9e85a3d-88f7-4ead-d63e-86c9e54e124f,fe4720c1-f369-4760-b122-6b324f08f3a3,2de16969-104d-43a0-bfd9-fe690d9d6eac,516.79,794,303,829,227,788,185,294,485,246,46.03,17.08,15.52,697.31,improving,490,412,205,false,67.84,completed,sample_text_9882,2026-04-04T19:02:27.981Z,2026-02-05T00:36:46.954Z,2025-11-08T13:14:14.027Z,2026-03-17T03:02:16.327Z,2025-08-25T00:48:41.044Z,2025-12-24T16:49:53.353Z
9e677862-95ef-43cb-6a84-0c09cd7d17ba,53d17442-b477-40dd-7421-38a81cb807b4,24557b57-0c13-4c0c-a3e9-39903a1a94a3,44e91cce-ea65-438a-461a-9f0cf86acc81,634.54,580,328,765,214,793,257,415,114,939,33.56,35.66,61.38,52.83,stable,992,604,923,false,49.59,discontinued,sample_text_4532,2025-04-15T00:01:10.974Z,2025-04-27T21:07:20.705Z,2026-02-15T22:51:05.969Z,2025-04-24T19:49:00.744Z,2025-12-16T22:28:37.970Z,2026-03-10T09:01:13.979Z
9543703c-cc1f-48f5-09d1-545299e4ad4e,81bdd85f-842c-462f-80f2-77e9a08b68bb,4ca6797c-e546-4f8b-df90-dbb08907d99e,5ad3d718-54d7-4cd2-1fcf-87aea33287e9,485.11,691,678,187,534,169,9,764,649,545,61.95,5.12,2.93,991.75,improving,364,985,191,false,41.86,not_started,sample_text_5127,2025-06-26T08:59:25.570Z,2025-08-18T04:10:50.150Z,2025-07-02T17:15:55.913Z,2026-03-15T02:25:40.243Z,2025-08-27T04:53:34.987Z,2026-03-19T22:16:34.435Z
e261e6ad-6b76-420c-dcd4-0b8a8fe83f00,0fe15401-d8c6-475b-c190-0d88ceee9427,f3e56a9d-701d-4138-17b4-468168466ac1,dc5c38cd-11bd-4d48-b540-0659ffe8f55b,303.49,635,370,141,778,258,292,85,3,775,11.48,33.36,22.93,501.11,improving,275,507,746,false,95.31,completed,sample_text_9836,2025-05-13T23:45:08.987Z,2025-05-01T21:18:51.158Z,2025-12-22T15:01:58.213Z,2025-10-15T04:58:49.417Z,2025-06-21T19:04:42.360Z,2026-02-12T04:45:12.257Z
103db93c-c27b-4f10-6d70-820ce524b01d,0fe15401-d8c6-475b-c190-0d88ceee9427,f0fe80e2-ee98-4631-fd46-bedaa4937130,cfed3b67-1de3-46ea-e76f-c89d08ec289a,290.72,645,324,505,79,217,590,45,693,113,6.61,61.19,70.15,802.65,improving,582,748,436,true,70.57,on_track,sample_text_6131,2025-05-28T04:15:50.184Z,2026-03-18T03:00:29.202Z,2025-12-15T03:50:14.392Z,2025-05-02T22:55:08.170Z,2026-03-19T16:22:18.538Z,2025-09-16T20:07:48.538Z
b8d4af3f-c4d4-4fec-1e8a-f0edaa2f8cc8,f2392f7d-a5b0-4fcc-13a3-f5b494facaed,94519cc1-bdc7-4549-769e-8964efcea7c6,09e8d1ef-f5f0-41fa-38f3-10bac079d03c,951.8,201,307,756,426,38,501,804,746,194,74.92,86.19,56.56,522.67,improving,667,502,848,false,77.81,completed,sample_text_1782,2026-02-08T17:52:53.274Z,2025-08-08T00:56:02.745Z,2025-04-26T09:19:14.125Z,2025-05-15T10:15:20.636Z,2025-09-15T21:16:03.885Z,2026-01-10T16:17:20.171Z
1f1d996b-4d20-48fb-5e7a-442add8ae99b,da56bf9e-670d-458d-06b7-c28efe44bae9,fe4720c1-f369-4760-b122-6b324f08f3a3,60bb9abd-ad4f-43fe-d09e-d416a48001a5,437.18,818,308,198,987,262,79,357,81,920,45.84,97.1,4.09,684.21,improving,799,706,376,false,46.41,completed,sample_text_1216,2025-08-15T09:47:47.479Z,2025-04-24T18:11:26.988Z,2026-01-08T22:44:44.765Z,2026-03-08T02:59:19.719Z,2026-01-29T06:13:48.084Z,2025-08-11T18:19:04.082Z
c96d5294-67cf-4847-7692-ae319297d837,ec3dd584-9571-48a4-dbfd-905d9bdad20d,f902ac6e-7076-46f8-2ee0-d0970401682b,5cca90e9-35ef-4b60-da97-176e79a801fd,499.51,615,691,496,45,390,662,545,72,26,0.73,8.33,4.02,207.24,improving,553,69,401,true,88.73,on_track,sample_text_8283,2025-12-28T10:14:31.825Z,2025-11-16T16:10:34.410Z,2025-04-27T14:30:08.591Z,2025-04-16T06:30:10.906Z,2026-01-27T14:18:08.707Z,2025-09-01T02:34:19.833Z
b3cc533b-18da-42a9-adfa-d0f98f89f29f,02921be7-21ab-4274-eb8c-fd17367ef932,4ca6797c-e546-4f8b-df90-dbb08907d99e,974aa30d-547e-4e21-86d6-1f3c34623f7f,736.85,163,675,565,898,121,871,688,136,474,52.08,18.55,11.97,412.16,declining,757,280,923,true,1.62,on_track,sample_text_4330,2025-05-06T16:56:06.692Z,2025-08-21T10:16:01.076Z,2025-05-30T19:31:50.765Z,2026-03-19T05:32:53.532Z,2025-11-27T08:46:43.111Z,2025-05-02T14:02:25.718Z
8ab1f229-8673-46f3-212e-0c02767080c6,35da515d-35a2-4861-590b-fb685b51a2fd,4fab3abf-dd8f-4d4b-ef39-52d4314418ca,cd807608-c28a-4e54-37b1-20305ffdcd5c,707.58,731,486,493,984,479,748,884,464,999,49.24,52.05,7.2,825.68,declining,144,374,876,false,57.75,completed,sample_text_1732,2025-12-01T06:05:27.607Z,2025-07-24T12:05:28.597Z,2026-02-02T04:43:27.559Z,2025-10-06T18:11:37.393Z,2025-06-29T07:51:37.610Z,2025-05-21T08:42:29.536Z
093a8897-b5a0-46e4-6fcd-f3b81299b688,5650edea-48a1-43b0-e4d1-f31c189db61d,73370ee3-24e1-494c-b530-e79710873eeb,c679812d-8719-424c-f810-c17bf20e8d10,347.16,980,187,514,699,166,30,654,856,679,71.79,3.6,18.39,108.23,stable,233,474,993,false,60.25,discontinued,sample_text_7106,2025-06-06T07:04:04.144Z,2026-01-25T15:40:54.334Z,2025-12-22T22:52:33.848Z,2025-11-12T14:08:47.032Z,2025-06-07T20:00:52.279Z,2025-05-19T13:31:10.250Z
17054192-155e-48e1-ac8d-bea4dcd8ed4e,db0d14ad-557f-4320-7a13-8a2d95908763,b017f20d-2b75-45dd-64d2-722f145a78d0,824fd656-898c-4a31-aa57-ef6e1d6c346d,697.85,133,591,323,1000,729,659,487,581,35,72.54,83.4,73.22,904.67,stable,314,841,269,false,69.67,on_track,sample_text_1400,2025-10-08T14:08:12.357Z,2025-07-21T19:43:22.907Z,2026-03-08T13:14:53.947Z,2025-07-24T04:45:21.698Z,2025-06-14T13:49:17.318Z,2025-12-08T04:29:05.517Z
f51dea55-6f01-4aac-44f9-835ec0299b75,22a0a6d0-f90a-40bf-5c2c-2c0d989b6a0d,4ca6797c-e546-4f8b-df90-dbb08907d99e,0519f110-4080-47f1-0e4d-53c0e3b18659,247.6,463,797,526,446,168,701,174,813,998,62.21,39.56,88.06,714.29,declining,345,881,640,false,81.03,not_started,sample_text_3995,2025-06-14T03:45:03.179Z,2025-06-06T01:17:05.780Z,2025-04-23T15:55:43.223Z,2025-11-03T17:56:35.549Z,2025-11-27T15:27:46.163Z,2026-04-01T19:47:16.044Z
dc37bc79-926c-4c8e-ada4-c6b2c9096530,7086daf9-3111-437e-3beb-ae91b8ea51fb,f902ac6e-7076-46f8-2ee0-d0970401682b,2815d421-fa85-4846-4e67-32f2b052db68,373.45,306,84,545,768,634,649,251,788,133,83.26,98.36,5.2,845.32,improving,683,219,574,true,7.19,not_started,sample_text_102,2026-01-01T19:48:31.867Z,2025-08-04T15:03:49.846Z,2025-12-14T21:51:20.188Z,2025-11-20T06:29:12.716Z,2026-02-23T09:53:10.182Z,2025-07-03T22:04:00.361Z
50ab65f2-ebda-453d-39d5-8e70886c26c8,e3365cd7-81d6-41a6-c786-86fd08bb2298,2e858920-a13b-46d3-3f94-8050bb03f098,a9f9f807-e129-4f29-9091-c45f8770da1a,657.03,532,349,87,680,36,23,897,166,227,8.02,90.26,25.39,649.92,improving,783,919,610,false,56.06,completed,sample_text_979,2026-03-01T16:42:52.719Z,2025-04-17T14:42:05.742Z,2025-05-05T12:57:28.073Z,2026-01-21T19:00:35.973Z,2025-12-15T13:00:48.435Z,2026-01-03T10:47:17.461Z
ee5229b4-b611-477d-004c-25102c4967cf,90bb83ca-2bb7-45da-7fea-80080434dbd5,f902ac6e-7076-46f8-2ee0-d0970401682b,60bb9abd-ad4f-43fe-d09e-d416a48001a5,584.37,477,234,29,559,102,621,621,978,812,44.41,8.69,24.6,359.97,improving,377,183,33,true,98.29,behind,sample_text_6401,2026-04-09T06:45:27.171Z,2026-02-06T17:33:33.473Z,2026-02-01T03:24:22.090Z,2026-01-20T00:34:56.046Z,2025-09-02T20:21:45.715Z,2026-04-03T02:38:10.389Z
338f99a9-8c7b-4400-e6a6-190a4fd5e0d7,e4ebc728-43de-4dc6-8cfd-0a6e04ab4faf,f3e56a9d-701d-4138-17b4-468168466ac1,8e053e88-8c6b-4a2d-0248-e26f6841348e,185.23,234,362,484,870,499,362,742,154,712,92.1,47.1,34.12,371.15,stable,249,443,67,true,61.35,completed,sample_text_7569,2025-10-10T17:39:09.186Z,2025-11-23T20:10:34.510Z,2026-01-02T18:23:44.682Z,2025-09-26T10:25:35.891Z,2026-03-13T10:36:03.310Z,2025-09-16T02:16:32.011Z
5504a848-7588-410e-0f84-55c5a91ccefb,4802aca5-84c1-4dec-bcdf-1d631717991e,1c4d8e9f-05af-4567-fc15-60738335dd73,cd807608-c28a-4e54-37b1-20305ffdcd5c,949.31,916,896,912,716,910,884,186,917,680,51.94,98.68,30.83,792.57,declining,594,488,536,false,28.29,completed,sample_text_3073,2025-04-17T01:20:44.948Z,2025-07-13T05:53:10.858Z,2025-07-04T12:26:46.997Z,2026-01-10T20:47:41.749Z,2025-06-13T11:07:14.773Z,2025-04-12T04:57:43.201Z
1ff174c9-a869-4a1a-82cf-06d373e54152,01063723-1de5-41a1-e5d1-0089f90f19b6,c8bf5171-97bd-4a3c-df89-c4059e1474e2,12c936b7-76a2-4244-3342-f64b193771af,4.42,353,419,146,836,517,472,701,114,980,23.73,35.45,96.44,250.83,improving,578,722,771,false,33.24,critical,sample_text_7988,2026-02-06T03:25:24.455Z,2026-01-27T11:39:35.218Z,2025-11-26T11:01:28.742Z,2025-07-06T21:34:57.444Z,2025-08-19T01:35:16.422Z,2026-03-06T16:26:55.011Z
e0e52e25-085d-48de-b832-9611700b63b8,239d70c0-edab-4bf4-a388-f3e9c190ee86,fecc715c-91cf-4144-4e6d-27d53565cfa5,26241fc8-1326-4f27-2a84-eb284a0bd4ba,862.61,499,293,324,317,823,892,52,758,95,20.38,4.7,67.48,120.29,stable,447,275,617,false,11.53,completed,sample_text_5035,2025-04-23T02:32:30.132Z,2025-07-10T14:52:12.048Z,2025-12-26T15:42:26.541Z,2026-03-26T12:20:07.719Z,2026-03-25T00:46:37.670Z,2025-07-23T01:43:12.527Z
e8e2aa9c-9d74-45d9-2868-b6d04e0701a2,e3365cd7-81d6-41a6-c786-86fd08bb2298,24557b57-0c13-4c0c-a3e9-39903a1a94a3,8a50d483-aa92-4384-4deb-3d5c6bf0f0f7,277.71,332,457,715,818,110,131,455,692,731,14.38,0.36,37.59,150.3,stable,679,813,363,false,87.8,not_started,sample_text_8235,2025-07-17T05:06:30.553Z,2026-03-25T07:52:56.218Z,2025-05-11T07:47:59.622Z,2025-11-30T02:47:54.553Z,2025-05-21T23:42:53.186Z,2025-11-09T12:02:29.368Z
f056f980-9f63-43b1-cde4-d614e74e2171,5650edea-48a1-43b0-e4d1-f31c189db61d,c0b731c7-72d6-4cbc-7d82-0603fe27478a,7abd7935-415a-4e5c-0200-73c72eee9749,970.25,508,766,859,845,697,53,730,785,706,11.83,36.45,89.94,771.58,stable,975,698,564,false,20.59,completed,sample_text_4561,2025-04-28T11:45:12.259Z,2025-09-25T23:12:23.721Z,2025-05-31T01:25:58.532Z,2025-10-19T12:47:16.946Z,2025-06-17T15:53:15.492Z,2025-06-11T04:48:20.505Z
6e00cd6b-9a93-4c11-6e54-e29c1bc79a35,cc19aa3d-8df7-4ba6-943a-ebbf9970c3bc,7e8192d3-756a-4974-209e-dc1ea1cca26e,08c9d53b-5bb4-4a4e-3e69-2fcd9679e99e,591.07,843,647,330,517,327,871,173,831,112,7.22,43.82,29.36,172.21,improving,26,436,545,true,48,not_started,sample_text_5247,2025-05-19T18:32:04.771Z,2025-12-11T08:12:36.245Z,2026-02-07T19:42:58.329Z,2025-10-12T00:26:43.146Z,2025-11-08T04:06:48.402Z,2025-12-16T13:56:10.880Z
