status,id,intervention_id,school_id,student_id,scheduled_date,scheduled_start_time,scheduled_duration_minutes,actual_date,actual_start_time,actual_duration_minutes,cancellation_reason,delivered_by,location,modality,group_size,fidelity_checklist,fidelity_score,fidelity_notes,student_engaged,engagement_notes,session_notes,skills_practiced,homework_assigned,parent_communication,created_at,updated_at,created_by
partial,2f33dd07-bdce-4474-f7ad-81e4dc5b5e2e,7cd8bff5-4341-4461-ae03-af249bc974f9,16c0f045-ad9e-4d23-8922-374a2534b914,4459d0bc-ac12-45e0-2241-37b73184e150,2025-09-14T03:55:03.472Z,sample_text_6351,957,2025-06-14T03:54:21.851Z,sample_text_9115,430,sample_text_743,ade33206-8c00-4f20-4bf1-7781c1eb9609,sample_text_1134,hybrid,439,sample_text_3180,838.02,sample_text_8160,true,sample_text_6971,sample_text_734,sample_text_5638,sample_text_9802,true,2025-09-07T15:25:56.065Z,2025-12-01T02:48:36.013Z,b19a9a30-5bc1-42f9-ac14-0842a27abbe0
scheduled,43fb5d6a-3b4f-4dc9-587d-8acf1dc655cf,b67c6dd5-03b5-49d6-f6fa-91a5dcce714c,eb97341d-2385-4175-9a86-c3256608e18e,fb441a9a-76af-4633-ef6e-1ccf7e88caa7,2025-08-24T22:33:59.723Z,sample_text_7388,596,2025-12-16T15:37:06.542Z,sample_text_7767,322,sample_text_5652,1f8bb59a-e0eb-4b2b-fe13-07a0c2675cb8,sample_text_1177,in_person,462,sample_text_6148,692.73,sample_text_4103,false,sample_text_8440,sample_text_6511,sample_text_1556,sample_text_1691,true,2025-05-29T08:49:02.435Z,2025-04-25T07:51:24.773Z,7275a4a2-65a3-47ed-3d1e-7026f453021d
completed,b911b1b7-6a67-479c-839f-379feac48374,6e60c3c1-79e3-49f2-3701-c8f0fce81cb1,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,c679812d-8719-424c-f810-c17bf20e8d10,2026-02-06T23:32:06.379Z,sample_text_9212,429,2025-11-06T17:19:06.966Z,sample_text_9216,472,sample_text_3299,03983122-261d-403c-9284-32860383f137,sample_text_4703,in_person,113,sample_text_1094,908.03,sample_text_6838,true,sample_text_5638,sample_text_9889,sample_text_4574,sample_text_266,false,2025-10-07T12:16:21.705Z,2026-01-07T01:15:34.868Z,074f3f9d-1d98-495a-36ce-ea4c10de32e7
scheduled,a83e626b-6d59-4a0f-2532-4766747111f7,81bdd85f-842c-462f-80f2-77e9a08b68bb,00e48b05-b6cb-410f-1525-6668c44bdb40,4f6d2f72-e04a-4494-a2d8-a7c9330625ec,2026-01-11T13:43:54.993Z,sample_text_1933,822,2025-11-12T07:55:33.010Z,sample_text_4920,405,sample_text_9210,cf7e2aea-c07d-4ed1-1fc0-69c3d64d741c,sample_text_4227,virtual,339,sample_text_1474,847.62,sample_text_2644,true,sample_text_4052,sample_text_2954,sample_text_7824,sample_text_7285,true,2025-08-22T02:43:27.297Z,2025-06-30T14:48:17.896Z,b3ab5a31-3db7-455f-604b-d752ad0d37c7
partial,83bb57e0-62a4-4476-c8f1-183668e1199d,da56bf9e-670d-458d-06b7-c28efe44bae9,00e48b05-b6cb-410f-1525-6668c44bdb40,0ba497e7-4a6e-4b40-b8d5-7f23952ad2cd,2025-11-27T15:47:39.639Z,sample_text_8592,299,2026-02-22T11:29:24.125Z,sample_text_1647,857,sample_text_6490,4b5660c5-6ded-4e88-5938-1722c262ea15,sample_text_5580,in_person,236,sample_text_366,468.37,sample_text_6538,false,sample_text_4306,sample_text_2600,sample_text_4501,sample_text_745,true,2025-06-15T09:31:30.154Z,2025-05-14T10:15:41.237Z,6a49f986-fadb-4bcd-512c-c56d68c9b08b
completed,8461437c-a9b0-427b-9fff-fa4cd1a25c48,e0b5f5e4-afd9-462e-ec04-fb5455b210a3,921679af-a07e-442d-b254-00f81e5f665d,e66f5152-bb91-495c-70a1-919b8657aacd,2026-03-06T07:09:48.641Z,sample_text_1041,502,2025-12-26T23:11:58.776Z,sample_text_1414,809,sample_text_8671,b19a9a30-5bc1-42f9-ac14-0842a27abbe0,sample_text_7984,in_person,520,sample_text_604,13.58,sample_text_982,false,sample_text_8781,sample_text_8139,sample_text_619,sample_text_6455,true,2025-07-29T03:55:06.039Z,2026-03-05T01:06:09.224Z,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a
completed,eae50406-eb0b-4d7e-3376-0c96912ba3cb,d2bb5682-7c2b-4eb6-8b8c-1743ca39b9ae,219980cb-3f77-4414-faeb-5f70b1472a36,6fd51bd1-cbdc-4c3a-0686-e52d7fe6061c,2026-02-26T01:49:41.314Z,sample_text_7708,810,2025-11-13T00:39:56.519Z,sample_text_3086,208,sample_text_8933,e2e59b60-b37d-4442-b14f-f66ec99cab25,sample_text_598,in_person,635,sample_text_8407,725.98,sample_text_227,false,sample_text_1475,sample_text_6817,sample_text_7523,sample_text_8194,true,2025-04-20T17:11:23.209Z,2025-06-08T00:52:34.373Z,d1707a15-e071-4bbb-65ff-4dfa7f902567
completed,5374eb0c-4427-4eca-c21e-c07d351af15e,56ce6d7a-11a7-4010-eed8-0ac222e7299e,af7db41b-a69f-4ae5-eb9c-f59fa17dcd26,a9f9f807-e129-4f29-9091-c45f8770da1a,2025-04-28T09:09:14.728Z,sample_text_1171,887,2025-10-14T20:14:05.524Z,sample_text_6553,10,sample_text_2886,e4b1ae0d-39bf-42a5-dfb9-7a9275ba3f82,sample_text_9765,in_person,555,sample_text_4096,350.15,sample_text_6959,true,sample_text_6652,sample_text_7326,sample_text_2742,sample_text_3398,true,2025-08-08T06:45:15.990Z,2025-08-03T21:23:40.990Z,b68d9d85-277a-4f14-1564-cbb9598388f9
completed,cdfbd8e1-3c52-4741-4e73-f880473c7fdb,02921be7-21ab-4274-eb8c-fd17367ef932,2bd4f3bc-df4b-49c7-997f-c11868da495a,ef30f378-ae06-4200-e466-b63a46dd4365,2025-08-12T13:38:18.991Z,sample_text_3111,252,2025-04-24T23:39:24.667Z,sample_text_799,183,sample_text_1253,1f8bb59a-e0eb-4b2b-fe13-07a0c2675cb8,sample_text_4989,virtual,82,sample_text_4214,49.05,sample_text_9422,false,sample_text_2716,sample_text_3987,sample_text_7308,sample_text_1632,false,2025-07-28T17:14:37.140Z,2025-06-18T01:19:26.870Z,234b0627-79ac-4de2-9e5f-3deaab1f438f
completed,f98151b2-da96-4487-e4f9-cf844de2f059,ddaebb0c-208f-4c1d-99d6-3c94ad714d88,343e4691-d779-4742-a9b6-c828fbb55b61,7abd7935-415a-4e5c-0200-73c72eee9749,2026-03-23T22:51:23.362Z,sample_text_6283,472,2025-09-06T19:57:43.539Z,sample_text_4737,936,sample_text_1869,8a0aa082-f148-423d-fd6f-c28d86c0215a,sample_text_2076,virtual,125,sample_text_3,128.19,sample_text_3683,true,sample_text_4498,sample_text_7027,sample_text_5574,sample_text_3995,true,2026-01-20T13:03:08.707Z,2025-05-06T05:37:46.377Z,8a0aa082-f148-423d-fd6f-c28d86c0215a
