id,created_at,school_id,user_id,type,priority,title,message,action_url,action_label,related_student_id,related_intervention_id,is_read,read_at,is_dismissed,dismissed_at,expires_at,metadata
d246d59e-eb6b-4bf6-245f-b12a5628717e,2026-03-30T17:38:10.114Z,59faa8f0-e266-467f-aa62-7fd97008cad7,e4a45791-4bec-432e-83c4-834772750abf,alert,urgent,Weekly risk summary ready,sample_text_9521,sample_text_9456,sample_text_7961,0519f110-4080-47f1-0e4d-53c0e3b18659,9fb97d7d-c648-45dd-decd-8fba34ef4c41,false,2025-10-24T10:50:07.809Z,false,2026-01-09T09:01:16.993Z,2025-08-20T20:56:16.935Z,sample_text_2268
7669e42d-12e3-4920-dde6-b38c11e986ad,2026-01-30T19:38:58.539Z,5b1b6bbb-ac85-477d-9a11-d480281a4b21,fa8263d2-b6b1-4514-4f07-6307b13d93f7,action,high,Data sync completed,sample_text_5765,sample_text_35,sample_text_1347,5354d00b-34f0-4a88-58d4-8decde6ce2ee,56ce6d7a-11a7-4010-eed8-0ac222e7299e,true,2025-04-24T08:15:52.242Z,false,2025-09-03T20:50:57.575Z,2025-09-28T10:34:42.168Z,sample_text_1234
2652fc34-2f11-4305-46d4-30ffd88ab0cd,2026-01-05T18:31:00.173Z,e394ca10-b5a0-45cc-8730-3524aff8641a,1f944d7a-c145-4606-b226-ca59addffefd,action,low,Attendance alert,sample_text_3255,sample_text_3610,sample_text_773,4f6d2f72-e04a-4494-a2d8-a7c9330625ec,ba7a4b0f-ab5c-4d6a-5299-a5cc023c573d,true,2025-05-05T22:25:27.518Z,true,2026-01-01T13:17:02.396Z,2026-03-31T17:47:12.868Z,sample_text_6169
bdfee6da-8990-445b-b523-41323d89f13a,2025-10-21T06:42:38.566Z,b9a92613-a49f-49ac-02ac-12389b77c55c,d686c193-7466-44fb-b1a6-37325154df4c,system,medium,Assessment results available,sample_text_5643,sample_text_6472,sample_text_1172,09e8d1ef-f5f0-41fa-38f3-10bac079d03c,6fb8d879-d8bc-47e9-d75c-868c65e4b80e,true,2025-07-28T12:01:13.504Z,true,2025-04-19T21:21:44.529Z,2025-12-12T19:42:05.416Z,sample_text_2325
9935caac-8b12-4ec5-2f84-88b9f2608e9b,2026-02-16T21:40:39.299Z,e536d26c-1212-499f-3401-979cc6978147,a7fdde05-87ad-4532-1887-2448d13ec652,alert,high,Weekly risk summary ready,sample_text_3232,sample_text_1675,sample_text_1387,73e655b7-927f-4010-5d38-ed87d5958465,093f659d-b7ea-45cd-f8d9-33ac23698fa0,false,2025-08-24T06:38:56.237Z,false,2025-12-21T06:23:48.496Z,2026-01-23T17:39:12.647Z,sample_text_7620
618adad1-cdea-480d-c8ee-4d46c5f14400,2026-02-01T22:13:29.686Z,fe4720c1-f369-4760-b122-6b324f08f3a3,faab496b-a78d-4496-aa0f-1f0957801a80,alert,high,Data sync completed,sample_text_2486,sample_text_2937,sample_text_9635,f61f2a14-3a64-4170-c4e0-7f394614ec15,392790ab-50ca-414f-ce4a-09dadfaa0790,true,2025-07-21T08:32:12.154Z,false,2025-07-04T11:57:32.786Z,2025-07-18T09:03:07.339Z,sample_text_6819
675e28d0-ac26-4eae-7d5d-b5bbad5d53ab,2025-06-01T05:09:10.886Z,2a4e5e57-fab3-47be-aa17-438ff8cedd26,8a0aa082-f148-423d-fd6f-c28d86c0215a,system,urgent,Assessment results available,sample_text_4263,sample_text_4737,sample_text_9022,09e8d1ef-f5f0-41fa-38f3-10bac079d03c,7278e65a-9c24-4acf-5b35-796f64dbce30,false,2026-03-27T08:35:38.622Z,false,2025-07-06T00:53:09.591Z,2025-11-16T11:51:30.366Z,sample_text_3466
07e1eaa7-bd54-40a5-99b0-99d8065d7e24,2025-10-31T03:43:07.569Z,314cdd92-266e-488d-cf88-6e18f6db8ca6,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,alert,medium,Assessment results available,sample_text_7607,sample_text_3362,sample_text_3883,4ca4247e-c61f-4837-bf77-9c36a300d1a6,2aec5726-4c1e-417e-c6cf-9881808fd293,false,2025-08-16T10:57:59.313Z,true,2025-11-18T05:36:14.002Z,2026-02-23T00:00:05.741Z,sample_text_6548
64b160ab-3bb2-4ea2-b359-81494589c361,2026-03-07T08:11:50.716Z,4ca6797c-e546-4f8b-df90-dbb08907d99e,59b39d5f-196d-4a89-1b1d-30029759628a,action,urgent,Weekly risk summary ready,sample_text_6056,sample_text_2017,sample_text_7095,230051a7-77f6-49c9-6d7a-c1c341da56c9,90bb83ca-2bb7-45da-7fea-80080434dbd5,false,2026-04-07T20:44:09.917Z,false,2025-05-12T17:43:33.604Z,2025-07-29T17:55:55.692Z,sample_text_8928
a66c19bf-6463-436d-fcdb-b0402c0f02e6,2025-09-25T03:23:52.147Z,eb97341d-2385-4175-9a86-c3256608e18e,2f694710-7063-42cd-b6b6-33ab87581536,system,low,Attendance alert,sample_text_1046,sample_text_6521,sample_text_708,4f78a299-95cc-4ebc-45f5-de09ee40e0da,1b16683a-98b0-4954-e675-86e26360065f,false,2025-08-08T07:46:28.704Z,false,2025-04-25T11:13:48.918Z,2025-07-22T17:25:30.179Z,sample_text_2466
