id,created_at,school_id,stripe_invoice_id,stripe_subscription_id,stripe_payment_intent_id,stripe_charge_id,amount,currency,status,invoice_number,invoice_pdf_url,hosted_invoice_url,period_start,period_end,subscription_tier,student_count,paid_at,refunded_at,metadata
29b4dea1-8da1-4f1e-2169-e036cb707766,2025-12-20T17:56:39.493Z,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,sample_text_3470,sample_text_1013,sample_text_8839,sample_text_5686,791,sample_text_5589,active,sample_text_8793,sample_text_2464,sample_text_6176,2025-05-07T19:36:00.728Z,2025-11-30T02:12:55.141Z,sample_text_5428,1739,2025-06-29T09:15:09.059Z,2025-11-18T02:31:18.646Z,sample_text_6728
a212668e-c376-471e-e276-55b1c2ec3f45,2025-08-14T17:18:11.189Z,00e48b05-b6cb-410f-1525-6668c44bdb40,sample_text_1299,sample_text_6425,sample_text_4010,sample_text_9962,348,sample_text_7117,active,sample_text_542,sample_text_3889,sample_text_6184,2025-08-08T14:26:20.461Z,2025-09-03T14:18:49.262Z,sample_text_6978,3285,2025-09-22T08:24:52.388Z,2025-10-24T21:28:42.768Z,sample_text_1729
c2250253-bf4e-4451-0059-c38fe55fcfb3,2025-04-12T10:17:33.362Z,661bcb95-f84e-4871-e1c4-675bf8171439,sample_text_3673,sample_text_2697,sample_text_1930,sample_text_262,374,sample_text_7263,active,sample_text_7814,sample_text_6155,sample_text_5425,2025-09-24T04:11:40.112Z,2025-11-25T11:59:42.598Z,sample_text_369,9890,2026-03-17T22:20:11.344Z,2025-10-30T16:19:26.985Z,sample_text_194
d78c9c28-2592-46a2-5b5f-6bc1fbc35118,2025-05-10T07:41:48.805Z,13905047-dc05-4f11-21d1-ceb2ff2a4ead,sample_text_4518,sample_text_4063,sample_text_7914,sample_text_3026,675,sample_text_3166,active,sample_text_1116,sample_text_3391,sample_text_1967,2026-01-07T18:06:53.644Z,2026-01-24T23:59:33.660Z,sample_text_5534,8574,2026-01-17T07:50:05.907Z,2025-07-15T19:29:53.381Z,sample_text_9990
6928bf10-a4ad-4644-0776-99fa1c58f6b6,2026-03-05T20:19:00.530Z,343e4691-d779-4742-a9b6-c828fbb55b61,sample_text_4183,sample_text_3178,sample_text_2775,sample_text_2224,579,sample_text_6545,active,sample_text_4791,sample_text_5963,sample_text_3432,2026-01-30T02:14:34.560Z,2025-06-13T09:01:42.833Z,sample_text_3644,6940,2025-09-25T06:38:15.997Z,2025-10-20T01:30:07.194Z,sample_text_1124
c417452c-5cd2-46b0-c3e4-fcb36125da70,2026-01-07T13:45:14.297Z,5b1b6bbb-ac85-477d-9a11-d480281a4b21,sample_text_66,sample_text_7631,sample_text_3231,sample_text_4271,720,sample_text_9931,inactive,sample_text_2791,sample_text_2131,sample_text_2052,2026-03-11T08:45:19.595Z,2025-06-08T08:08:12.977Z,sample_text_4379,2666,2026-01-19T04:07:22.572Z,2026-03-12T04:58:19.985Z,sample_text_4227
45f5f337-a123-4634-ff81-1bd9b8ceeb03,2025-07-06T08:49:35.461Z,2d706e75-fd47-4d6b-cc14-10a1bf804d62,sample_text_3236,sample_text_4249,sample_text_5792,sample_text_1776,710,sample_text_5125,inactive,sample_text_7875,sample_text_6200,sample_text_7280,2025-07-16T09:46:53.354Z,2025-06-05T21:53:14.857Z,sample_text_5218,8866,2025-04-22T21:08:18.279Z,2025-12-30T11:31:04.438Z,sample_text_1430
4f71bf25-44c3-4900-996d-9be3cbc89e50,2025-10-01T19:58:06.857Z,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,sample_text_6628,sample_text_7294,sample_text_5173,sample_text_6648,1000,sample_text_8385,inactive,sample_text_6885,sample_text_8034,sample_text_4754,2025-05-26T16:59:21.154Z,2025-07-02T11:28:35.034Z,sample_text_1662,4135,2026-02-06T22:30:56.005Z,2025-07-07T05:13:47.941Z,sample_text_6614
7481cf3e-fe43-4fb6-884a-dc0e309e4f27,2025-12-28T20:03:18.438Z,4fab3abf-dd8f-4d4b-ef39-52d4314418ca,sample_text_8199,sample_text_5209,sample_text_5784,sample_text_976,633,sample_text_643,active,sample_text_9717,sample_text_4199,sample_text_2336,2025-10-13T03:09:01.323Z,2025-09-21T05:07:38.275Z,sample_text_4812,7439,2025-10-09T12:10:29.420Z,2025-11-06T08:09:24.390Z,sample_text_4426
24ac3c23-e6d6-4cad-84fc-ae0fe4dd2dee,2025-04-16T16:09:24.496Z,921679af-a07e-442d-b254-00f81e5f665d,sample_text_639,sample_text_6916,sample_text_5842,sample_text_3111,292,sample_text_7292,pending,sample_text_4711,sample_text_3367,sample_text_2680,2025-08-04T02:27:12.626Z,2025-09-16T05:08:15.257Z,sample_text_7183,8503,2026-01-23T23:22:03.354Z,2026-01-31T20:41:30.218Z,sample_text_9331
9ee1030c-f9c5-4a02-fe6f-a66d12871b23,2026-02-17T12:06:40.600Z,314cdd92-266e-488d-cf88-6e18f6db8ca6,sample_text_973,sample_text_3507,sample_text_2710,sample_text_8846,469,sample_text_9574,inactive,sample_text_3966,sample_text_7910,sample_text_9349,2025-04-16T23:17:25.235Z,2025-12-15T19:52:28.619Z,sample_text_6698,5540,2026-02-18T10:09:40.894Z,2025-11-25T22:50:26.117Z,sample_text_1927
