status,id,evaluation_id,student_id,school_id,rule_id,alert_type,severity,title,message,risk_score,risk_level,data,acknowledged_by,acknowledged_at,resolved_by,resolved_at,resolution_notes,intervention_id,cooldown_key,created_at,updated_at
acknowledged,ccc54744-e3db-4ad8-2095-b9f20c679dc6,ac4924f2-2b2d-4caf-9b43-bd6613e63fcf,31e6dcd8-7b5b-4c54-b419-66da1259c0d7,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,sample_text_653,new_risk_detected,warning,Behavior incidents increasing,sample_text_7126,867.91,critical,sample_text_2170,7d07d517-dedd-404d-c698-f00e2aeb820f,2025-12-02T19:41:00.194Z,9c9bf7cc-e7e9-4ae2-6497-3685d6fe38d9,2026-03-12T03:21:55.129Z,sample_text_7972,6d2954e1-a294-4f4c-a73e-cd9374c16466,sample_text_82,2025-11-04T17:15:05.242Z,2026-04-02T00:17:37.077Z
dismissed,f86523eb-b22c-4d5d-c479-a494ae3fc2fa,30c1a8c6-97cf-4f16-3084-8cb9d0868af5,b913d05c-d452-4b8d-58bc-5af42ecc92ad,661bcb95-f84e-4871-e1c4-675bf8171439,sample_text_3152,intervention_overdue,urgent,Student at risk of chronic absence,sample_text_2390,196.22,critical,sample_text_7358,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a,2025-08-11T11:16:07.012Z,9c9bf7cc-e7e9-4ae2-6497-3685d6fe38d9,2025-08-01T10:02:08.477Z,sample_text_6783,0fe15401-d8c6-475b-c190-0d88ceee9427,sample_text_104,2026-04-08T08:13:52.824Z,2025-04-19T00:17:00.020Z
acknowledged,63bc9580-dc0a-4cec-3b9b-e9ef29c6d48a,f651f03c-a400-4571-19c9-ed4edc4bbd7b,b913d05c-d452-4b8d-58bc-5af42ecc92ad,76fb7096-3d5c-4180-3013-e7a55c8b02bb,sample_text_6855,chronic_absence,warning,Student at risk of chronic absence,sample_text_1166,188.15,critical,sample_text_6725,0a5b5544-8433-485d-8477-4051a66c59da,2025-09-20T04:20:50.134Z,9c9bf7cc-e7e9-4ae2-6497-3685d6fe38d9,2025-04-28T06:04:46.732Z,sample_text_5816,ba7a4b0f-ab5c-4d6a-5299-a5cc023c573d,sample_text_5494,2025-05-14T17:54:49.552Z,2026-03-06T11:37:45.556Z
resolved,26d0f421-4ce3-4d00-bc3b-69a8f99c4d2f,2aba6205-d457-4cd4-7d3e-eedae15fade0,8e053e88-8c6b-4a2d-0248-e26f6841348e,aed83b90-feeb-480d-e57c-176768104c81,sample_text_8080,trend_warning,critical,Attendance dropped below 90%,sample_text_3206,731.92,at_risk,sample_text_2343,9eaa373f-8df1-4b6c-b2c9-c62b6f3363fe,2025-10-25T08:36:50.778Z,7a4c360c-bb74-4deb-f15e-c8b948e7a622,2025-09-23T18:42:09.272Z,sample_text_3353,aafbdce4-b166-4344-e700-6fcd4aaa8f29,sample_text_8594,2025-10-21T16:02:51.744Z,2025-06-24T14:37:32.856Z
resolved,b7895c1e-443b-4804-140a-a047fa8b4fa5,bf8a7cf7-4914-4bbe-3ca8-8924072c81f9,7e33c19d-304d-44cf-6308-c84646b5b9b6,e394ca10-b5a0-45cc-8730-3524aff8641a,sample_text_6109,rapid_decline,warning,Behavior incidents increasing,sample_text_1125,197.43,at_risk,sample_text_1099,cb8fa579-1a0f-4b56-d0df-17115e069361,2025-05-28T11:33:40.508Z,699866f4-eda9-4222-4727-7702d9d050eb,2026-01-06T06:59:06.875Z,sample_text_5831,6db61a4b-84a8-461f-cebe-88f07baaac2d,sample_text_7958,2025-10-24T18:01:43.154Z,2025-07-06T21:34:01.711Z
new,9b3b7b53-7ddb-4613-3bc5-b2ece5dbaee8,ded2e70e-95e2-419c-341e-9b9d6eee2da3,cd807608-c28a-4e54-37b1-20305ffdcd5c,c8bf5171-97bd-4a3c-df89-c4059e1474e2,sample_text_2535,intervention_overdue,warning,Student at risk of chronic absence,sample_text_6680,376.55,at_risk,sample_text_5593,af45888d-3cda-415b-1d81-91022a417bde,,7275a4a2-65a3-47ed-3d1e-7026f453021d,,,4298b1e0-3106-4cb3-2217-06e177b7279a,sample_text_1925,2026-02-11T15:47:46.575Z,2025-04-21T11:15:20.339Z
resolved,385c430c-29c8-4248-bc4e-0022890f7d9f,5b61d93d-729d-4348-b36c-a4f6a3857529,ef30f378-ae06-4200-e466-b63a46dd4365,2a4e5e57-fab3-47be-aa17-438ff8cedd26,sample_text_426,attendance_drop,urgent,Attendance dropped below 90%,sample_text_4829,929.48,at_risk,sample_text_5614,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a,2026-03-10T15:38:18.570Z,f1f1b656-b2d4-47c0-837f-3221be4d02cd,2025-09-11T00:02:18.665Z,sample_text_3184,e0b5f5e4-afd9-462e-ec04-fb5455b210a3,sample_text_15,2025-09-19T02:03:06.380Z,2026-01-14T23:30:53.582Z
resolved,fecf229b-9bfe-4271-c544-c4f7927a6e88,47338ab3-3520-4bb9-1bbc-c9ea2483c3bf,8e053e88-8c6b-4a2d-0248-e26f6841348e,a41d4030-6171-4181-a953-5d0104c592fd,sample_text_9772,rapid_decline,info,Behavior incidents increasing,sample_text_3413,977.14,critical,sample_text_2924,8a0aa082-f148-423d-fd6f-c28d86c0215a,2025-09-08T06:42:05.290Z,367ec86b-33cc-4e1c-99be-6d4f3680b591,2025-05-06T12:00:08.920Z,sample_text_1303,0fe15401-d8c6-475b-c190-0d88ceee9427,sample_text_9248,2025-08-16T01:35:11.474Z,2025-09-22T10:50:27.884Z
in_review,98910ec5-5432-473e-47ab-371374fabe40,2d8cd409-e5e9-4bb3-5882-19b0edc5dbd1,2de16969-104d-43a0-bfd9-fe690d9d6eac,921679af-a07e-442d-b254-00f81e5f665d,sample_text_9113,trend_warning,warning,Student at risk of chronic absence,sample_text_9993,661.14,critical,sample_text_3157,7a4c360c-bb74-4deb-f15e-c8b948e7a622,2025-12-18T14:26:31.849Z,91481a49-39f6-4c85-9a87-3de01f285177,2025-06-29T11:35:11.286Z,sample_text_1737,1c838e84-c20a-4ba3-eb30-b5b3f01c4156,sample_text_4207,2026-02-02T13:28:06.885Z,2025-08-01T13:14:24.007Z
new,8a1280ef-db97-4853-c8a7-864c6b8c8169,97d1867a-7588-439d-04ec-3e791a420822,440eba09-b8a9-4df2-7ce2-88916df0536d,32a1daeb-123e-4dbe-b622-aea59b73722d,sample_text_3961,attendance_drop,urgent,Behavior incidents increasing,sample_text_4759,204.76,critical,sample_text_8864,7d07d517-dedd-404d-c698-f00e2aeb820f,,e4b1ae0d-39bf-42a5-dfb9-7a9275ba3f82,,,8e77bf83-cdbf-4e65-c0fd-b456dae5ca6e,sample_text_1498,2026-02-17T02:19:53.034Z,2025-06-13T20:32:03.296Z
