id,school_id,report_type,format,title,frequency,day_of_week,day_of_month,time_of_day,timezone,filters,options,recipients,is_active,last_run_at,next_run_at,last_error,created_by,created_at,updated_at
7143354f-b151-4634-c60b-c973e4f80db9,c0b731c7-72d6-4cbc-7d82-0603fe27478a,sample_text_9494,sample_text_8697,sample_text_8730,sample_text_2015,289,693,sample_text_2382,sample_text_3595,sample_text_3485,sample_text_4389,sample_text_3938,true,2025-08-23T03:30:36.985Z,2025-06-14T12:57:23.234Z,sample_text_2883,5f74283d-b277-412d-d267-c759f3cc6041,2025-09-25T08:37:05.759Z,2025-06-03T13:37:02.669Z
43522357-f048-46a2-dad8-bbbd4fc70b36,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,sample_text_6358,sample_text_14,sample_text_4194,sample_text_6545,117,958,sample_text_570,sample_text_4582,sample_text_9903,sample_text_4774,sample_text_5287,false,2025-10-10T03:15:29.347Z,2025-06-10T15:04:06.771Z,sample_text_9858,daf76438-3324-492b-a97c-913f4729c496,2025-09-12T03:23:44.403Z,2025-09-21T03:18:49.311Z
45e2fa90-13d7-486e-23d4-eba8e889dbf0,2a4e5e57-fab3-47be-aa17-438ff8cedd26,sample_text_4147,sample_text_1644,sample_text_259,sample_text_7487,978,829,sample_text_8799,sample_text_8334,sample_text_3418,sample_text_8394,sample_text_1223,false,2026-02-24T00:35:36.175Z,2025-11-21T15:11:27.194Z,sample_text_1762,54605f70-1f7d-4887-15fb-ac5a1e4f208e,2025-05-07T01:08:51.522Z,2025-11-19T22:14:48.189Z
63eb864d-d6b2-46f4-65a7-8459624407b5,73370ee3-24e1-494c-b530-e79710873eeb,sample_text_7620,sample_text_639,sample_text_1272,sample_text_1277,46,932,sample_text_2859,sample_text_983,sample_text_4869,sample_text_1671,sample_text_5637,false,2025-05-07T01:16:27.250Z,2025-11-11T04:21:32.172Z,sample_text_5751,c8ef725e-4fba-406d-5554-e5931f4af895,2026-02-03T22:05:48.468Z,2025-06-27T04:11:26.129Z
39c79f81-c711-4914-a3d5-d87dbb4f9e05,837a9baf-7fed-4fe4-630e-eeaf60164bcb,sample_text_4124,sample_text_9080,sample_text_1511,sample_text_3776,782,994,sample_text_9982,sample_text_5193,sample_text_6887,sample_text_8889,sample_text_9180,true,2025-08-22T20:22:34.819Z,2025-08-09T08:46:26.618Z,sample_text_4705,a0a00427-bbc6-4c07-94be-542299d8ac19,2025-06-02T16:20:58.658Z,2026-02-22T02:09:57.722Z
f3956100-47c1-4a5e-10a3-f0d34d3c094f,af7db41b-a69f-4ae5-eb9c-f59fa17dcd26,sample_text_9529,sample_text_3730,sample_text_5453,sample_text_7,913,993,sample_text_4039,sample_text_9290,sample_text_6574,sample_text_3792,sample_text_1126,false,2025-12-05T03:56:11.715Z,2025-06-14T09:48:10.637Z,sample_text_4656,f93047cd-2bc1-4ffb-7d81-f6aab6b76d93,2025-05-28T01:56:54.291Z,2026-03-24T19:30:14.279Z
f5b6878a-86fc-44cc-d3a9-fe2690bffe7f,343e4691-d779-4742-a9b6-c828fbb55b61,sample_text_7623,sample_text_7923,sample_text_9998,sample_text_1960,127,743,sample_text_2269,sample_text_95,sample_text_786,sample_text_1669,sample_text_6131,false,2025-08-17T17:25:50.284Z,2025-10-29T06:52:14.320Z,sample_text_2576,292dbb52-3c4d-4491-9107-8d59ab96b42c,2026-01-03T05:45:41.722Z,2025-06-16T15:46:16.679Z
b7277eb5-5f73-4fbd-8afa-de82a168637c,615ffcad-04ca-4584-4505-45cbefd50d58,sample_text_6631,sample_text_8944,sample_text_1932,sample_text_6164,756,223,sample_text_5486,sample_text_2441,sample_text_7639,sample_text_6804,sample_text_2394,true,2026-01-28T19:46:04.418Z,2025-05-15T22:27:15.882Z,sample_text_8294,493d6b12-ba17-48e8-f5c8-4a89a9978cd3,2026-02-02T17:49:49.767Z,2026-01-02T10:54:38.589Z
b3ef1c79-3b28-4369-fe31-9b4db044e54c,f56bd850-ae1d-4c12-1f67-ecd289df1620,sample_text_3225,sample_text_2508,sample_text_5669,sample_text_9264,590,807,sample_text_2083,sample_text_6405,sample_text_6058,sample_text_1993,sample_text_5057,false,2026-02-25T03:39:56.896Z,2025-04-18T02:52:29.617Z,sample_text_1044,791d556d-ace7-45c7-fe84-9f8c11810e06,2025-06-20T09:53:52.852Z,2026-03-31T05:43:17.199Z
b89b016a-407f-4d6b-97e6-ea571f0147f0,16c0f045-ad9e-4d23-8922-374a2534b914,sample_text_5202,sample_text_3112,sample_text_4399,sample_text_7582,134,868,sample_text_454,sample_text_4666,sample_text_1506,sample_text_7678,sample_text_3390,false,2026-01-05T05:59:56.869Z,2025-08-29T18:12:32.067Z,sample_text_7098,33410c35-9bcb-4ce6-082b-f44490ac4be8,2026-03-18T07:46:22.629Z,2025-09-22T21:25:54.274Z
9a72ab3f-da43-4793-19bc-9a19a739c3ec,c41be56c-1b03-4f83-3798-7ff82c84c273,sample_text_5843,sample_text_5092,sample_text_2690,sample_text_6703,192,499,sample_text_8748,sample_text_5069,sample_text_8279,sample_text_1910,sample_text_8974,false,2025-09-04T11:44:15.368Z,2025-04-22T09:19:07.701Z,sample_text_7464,ebc037e2-99a3-438b-19a4-f750434ddbf2,2026-03-07T08:04:44.410Z,2026-01-18T09:32:20.514Z
7234ec59-fc60-4ce0-23de-2ac6d3ce0592,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,sample_text_8261,sample_text_526,sample_text_6405,sample_text_1588,119,620,sample_text_591,sample_text_1748,sample_text_391,sample_text_2611,sample_text_2308,false,2026-03-18T19:36:01.462Z,2026-03-23T22:41:16.935Z,sample_text_9177,5a00b096-8809-4c27-8838-7a457a1970aa,2025-12-07T06:51:19.543Z,2025-06-24T18:55:34.685Z
41af563e-1764-4452-b097-6fece3edb4ec,343e4691-d779-4742-a9b6-c828fbb55b61,sample_text_2353,sample_text_9433,sample_text_9227,sample_text_9926,188,253,sample_text_794,sample_text_1446,sample_text_9152,sample_text_8111,sample_text_5745,false,2025-10-15T10:47:03.299Z,2025-04-20T01:05:29.265Z,sample_text_2896,3553893d-7daf-4863-c7a0-b6ad7462f7f2,2026-02-14T13:26:14.081Z,2025-09-15T15:11:24.085Z
18944914-b179-4a4c-410f-a152cc4b802b,291d99ad-c85c-4557-8915-25527607d5cf,sample_text_3653,sample_text_345,sample_text_4662,sample_text_8105,270,900,sample_text_3555,sample_text_8848,sample_text_3919,sample_text_3689,sample_text_1701,true,2026-03-15T15:13:16.189Z,2026-01-14T21:03:24.347Z,sample_text_8832,7d8428fe-754c-499b-f382-9306e89e564f,2025-07-01T05:29:08.835Z,2025-09-28T06:44:25.133Z
3f1ae2f2-8b77-415e-7336-8620262fc0c5,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,sample_text_1047,sample_text_4252,sample_text_8589,sample_text_4712,930,789,sample_text_2791,sample_text_1373,sample_text_1850,sample_text_4010,sample_text_8979,false,2025-10-17T13:47:02.001Z,2025-07-06T08:46:47.402Z,sample_text_9293,82dce6e8-db2b-4426-bba8-0e15da7eaca2,2025-08-18T17:52:48.656Z,2026-02-15T06:11:49.541Z
ab6f7da5-48cb-4d06-2a6d-10f0700ce65b,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,sample_text_6749,sample_text_7289,sample_text_7924,sample_text_4365,96,878,sample_text_1649,sample_text_4150,sample_text_5705,sample_text_7922,sample_text_3935,false,2025-11-18T17:39:57.807Z,2025-07-11T12:25:09.861Z,sample_text_3681,3a730e59-d551-4475-52f7-90152ab12148,2025-09-24T19:02:39.679Z,2025-07-12T23:34:19.004Z
860a3465-bb03-456b-7d27-77ba03fcc17c,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,sample_text_5456,sample_text_8049,sample_text_2247,sample_text_2422,335,592,sample_text_7272,sample_text_1591,sample_text_4789,sample_text_1125,sample_text_9875,false,2025-08-19T12:38:47.368Z,2025-10-20T12:29:28.292Z,sample_text_7907,cbd171a1-cec6-4bdf-b4fb-e57ee2a6a0dd,2025-05-17T10:00:32.637Z,2025-11-06T15:26:59.755Z
09e2485a-b36b-473b-ae49-79585cd5f651,291d99ad-c85c-4557-8915-25527607d5cf,sample_text_6202,sample_text_3416,sample_text_285,sample_text_3916,499,326,sample_text_3065,sample_text_5058,sample_text_9284,sample_text_7752,sample_text_8543,true,2026-01-03T20:10:48.667Z,2025-10-01T21:07:57.980Z,sample_text_5216,b634e178-8b5d-4249-f37f-c80fca732e34,2025-06-24T13:48:27.929Z,2026-01-16T01:36:17.985Z
582da957-9c62-4af9-240e-758e17e78191,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,sample_text_1324,sample_text_6686,sample_text_1628,sample_text_3025,432,464,sample_text_5607,sample_text_5871,sample_text_1285,sample_text_537,sample_text_872,false,2025-12-08T11:05:04.337Z,2025-05-22T03:06:59.138Z,sample_text_58,d2e88021-3043-4d90-8fad-a0ba1b0b46b0,2025-08-07T00:36:56.316Z,2025-05-26T11:21:15.718Z
bc095f5d-9b5b-432c-e143-a1ae9f1cba10,820e0d69-1dec-4fa2-7dff-4973e37417e7,sample_text_3402,sample_text_5373,sample_text_9517,sample_text_9928,608,20,sample_text_3105,sample_text_2599,sample_text_4280,sample_text_9527,sample_text_8283,true,2026-02-04T03:26:31.327Z,2025-08-20T06:53:05.974Z,sample_text_1575,8af1b4b7-2885-41cc-0ddf-7b8baf51ead5,2025-06-20T13:57:53.483Z,2025-10-12T12:45:19.225Z
714e8a9f-3b3e-4389-d5b1-b9131fa056ae,76fb7096-3d5c-4180-3013-e7a55c8b02bb,sample_text_3194,sample_text_7495,sample_text_5706,sample_text_9871,453,346,sample_text_9527,sample_text_3502,sample_text_107,sample_text_1610,sample_text_6832,false,2026-02-01T20:44:10.285Z,2025-09-24T01:19:54.408Z,sample_text_6392,0370c316-e0dd-4b3f-c91d-6f413b5a59a8,2025-10-14T04:31:11.043Z,2025-07-24T15:18:03.187Z
c3c1bb8a-19ad-4d6b-ecd1-07e289421a81,fe4720c1-f369-4760-b122-6b324f08f3a3,sample_text_5703,sample_text_6335,sample_text_7073,sample_text_8023,858,982,sample_text_3436,sample_text_3966,sample_text_3154,sample_text_1731,sample_text_8767,false,2026-01-29T07:54:50.665Z,2025-06-28T18:29:50.885Z,sample_text_9092,d4c8088e-e9e9-454f-01b3-f4be499cb3a3,2026-02-13T19:33:22.879Z,2025-05-26T15:58:17.111Z
806bd5a2-acb8-4db3-0e75-728377e3cecf,3f4d6f7d-05f7-4310-de9f-ae93e46984db,sample_text_5289,sample_text_8875,sample_text_7049,sample_text_6427,181,331,sample_text_8533,sample_text_767,sample_text_3890,sample_text_3476,sample_text_1368,false,2025-08-26T17:06:46.825Z,2026-03-09T16:40:54.128Z,sample_text_9698,f8b0494f-ca1f-4cd4-a0b0-27966739b1fc,2025-06-17T08:56:30.100Z,2026-02-24T01:10:26.962Z
07cefc28-c0e9-4e03-60ca-167ed66c5758,2e842555-494e-4eac-25b2-d2a4430cc9ed,sample_text_3676,sample_text_9048,sample_text_9348,sample_text_3875,736,845,sample_text_2641,sample_text_3653,sample_text_2845,sample_text_2715,sample_text_861,false,2025-11-02T04:14:56.459Z,2025-09-27T21:28:50.496Z,sample_text_471,e3a547fd-eb42-487b-f0fa-a08c0ffa1383,2026-01-10T18:01:40.457Z,2025-10-07T00:44:06.444Z
de41e093-ae01-4f59-a698-1b2702f29b80,59faa8f0-e266-467f-aa62-7fd97008cad7,sample_text_9947,sample_text_7839,sample_text_4331,sample_text_3431,434,136,sample_text_4357,sample_text_4564,sample_text_1543,sample_text_3348,sample_text_7125,false,2025-09-18T07:05:32.569Z,2025-10-08T13:14:03.077Z,sample_text_1828,d719b129-54ef-4f91-6ca4-a7019c23b88d,2026-03-22T09:04:01.253Z,2025-08-08T10:26:25.196Z
