id,created_at,updated_at,school_id,pass_costs_to_school,billing_contact_email,max_monthly_cost,max_syncs_per_day,max_concurrent_syncs,cost_alert_threshold,notify_on_sync_failure,notify_on_quota_warning,allow_manual_sync,allow_realtime_sync,allow_bulk_operations,metadata
4d0366b4-7378-4263-b726-76515120435a,2025-07-19T22:38:22.178Z,2025-10-06T04:16:37.731Z,e112e16e-d7d4-47de-a1f6-038db1f702ae,true,masked_ys4rad@example.com,174.05,771,75,9.87,true,true,true,false,false,sample_text_291
5e2ef6d3-828b-4044-dc9b-5c38dcf43b38,2025-11-20T22:29:09.342Z,2025-12-07T12:50:57.273Z,aed83b90-feeb-480d-e57c-176768104c81,false,masked_aesk2o@example.com,656.48,828,154,461.56,true,false,true,true,false,sample_text_2559
8ed96a3e-c896-437f-37e8-af81d98e2f2a,2026-01-10T11:01:38.482Z,2025-11-03T06:02:36.176Z,2bd4f3bc-df4b-49c7-997f-c11868da495a,false,masked_zhh2kk@example.com,548.31,920,100,254.31,false,true,true,false,true,sample_text_4797
2c343478-915a-41d1-0103-d6d6ead4d7df,2025-10-17T03:03:52.799Z,2025-08-27T00:34:57.154Z,73370ee3-24e1-494c-b530-e79710873eeb,false,masked_mppehc@example.com,17.81,887,566,16.01,false,false,false,true,true,sample_text_4418
d6a025e9-16b3-46c4-f48f-9391812d8cb8,2026-04-02T00:58:44.094Z,2025-06-01T00:54:15.736Z,7006fd96-e3f8-4225-33e4-be34d610ffbb,false,masked_pk6mn2@example.com,662.64,256,839,756.61,true,false,false,true,false,sample_text_7161
a75722a8-9f47-4616-f97e-a9c106ab19f5,2026-01-31T14:28:16.745Z,2025-09-23T19:10:29.163Z,7d85b267-ac94-499b-94c1-eff3632a4d8b,true,masked_k6jy59@example.com,967.98,144,723,168.14,true,true,true,false,false,sample_text_7506
d90abd66-8288-4102-afa4-fcfee5bd5bed,2025-06-13T22:23:12.145Z,2025-10-24T23:39:25.743Z,7e8192d3-756a-4974-209e-dc1ea1cca26e,false,masked_lcdlam@example.com,265.14,24,822,951,true,true,true,true,false,sample_text_6783
594f1afb-bde0-4912-7a47-8da2b7a71d73,2026-02-18T20:38:54.998Z,2025-10-16T12:04:26.484Z,7006fd96-e3f8-4225-33e4-be34d610ffbb,true,masked_uzslca@example.com,14.4,441,156,230.91,true,false,true,false,true,sample_text_2342
393c033e-c8f1-48d1-ccd5-f80ba5b6d2ca,2026-04-04T17:29:08.045Z,2025-06-28T17:04:51.390Z,661bcb95-f84e-4871-e1c4-675bf8171439,true,masked_1bszj3@example.com,689.28,732,762,496.63,true,true,true,true,false,sample_text_4239
bdb888ad-c5fe-4cb4-de91-bc523e2d33f6,2025-11-14T14:04:45.672Z,2025-06-19T15:14:57.467Z,f0fe80e2-ee98-4631-fd46-bedaa4937130,true,masked_55x8ra@example.com,319.54,57,941,932.58,false,false,true,true,false,sample_text_3488
3e994d9e-5196-459c-54a6-35f4768b622c,2025-08-22T10:43:10.322Z,2026-03-09T00:43:13.524Z,4c81bc97-321d-48c5-d316-8243b2e8187e,true,masked_fa4361@example.com,908.81,648,295,496.91,false,false,false,false,false,sample_text_4356
3b748aac-5b75-4217-aa2f-de79253b6bba,2025-07-05T03:33:57.979Z,2025-04-26T07:40:36.488Z,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,false,masked_a4bhci@example.com,296.28,681,832,225.41,true,false,true,false,false,sample_text_7215
1bc96f5c-4a94-4838-4ec4-50636b5585ec,2026-01-25T04:41:54.271Z,2025-04-17T22:42:17.483Z,b017f20d-2b75-45dd-64d2-722f145a78d0,false,masked_cschzo@example.com,252.54,369,735,201.08,true,true,false,false,false,sample_text_8773
285353fc-c5c1-4226-92a4-79fb8b77eeb3,2026-02-07T15:52:53.838Z,2026-02-22T22:39:40.252Z,3a19d003-2447-4c77-d435-69866c42a3e8,true,masked_32rjbc@example.com,22.7,184,937,611.23,false,false,true,false,false,sample_text_7835
56234b06-8fe7-4181-b576-45e74e568090,2025-06-24T21:05:27.556Z,2025-05-16T01:47:04.877Z,13f8f388-7de1-4383-f922-a0d8a397e76c,true,masked_aqtgmj@example.com,453.38,552,815,999.49,true,false,false,true,false,sample_text_1280
679ab8c9-8104-457f-84af-8888f46355af,2025-10-17T06:53:24.004Z,2025-10-25T04:46:51.188Z,291d99ad-c85c-4557-8915-25527607d5cf,false,masked_574dma@example.com,95.87,526,695,793.97,true,true,true,true,true,sample_text_7919
3259d54c-4ad0-422d-61d4-8cce80860fa0,2025-05-14T02:47:39.567Z,2026-02-11T17:26:41.364Z,fe4720c1-f369-4760-b122-6b324f08f3a3,true,masked_bmx16t@example.com,532.66,386,158,235.93,false,false,true,false,true,sample_text_7013
604d2cce-092c-475b-ec5f-ad6a96fad4f7,2025-06-29T18:16:41.976Z,2025-08-27T18:09:53.711Z,b017f20d-2b75-45dd-64d2-722f145a78d0,true,masked_jrd07n@example.com,232.28,233,345,649.49,true,true,true,true,false,sample_text_9677
a8f85acf-ff05-4312-65dc-70d23d153dfd,2025-11-29T09:10:43.559Z,2025-12-17T04:45:29.533Z,b1160aa4-615e-46be-c33f-53b664f1618f,false,masked_lld2js@example.com,282.52,93,888,802.81,true,true,false,true,true,sample_text_78
26a734ec-1ef3-4739-9d4b-be49a6f18b27,2025-12-14T08:55:22.881Z,2025-11-11T10:59:10.915Z,521d1584-627e-495f-893e-82a12f5344be,true,masked_5i88zv@example.com,327.46,253,991,829.91,false,true,false,false,false,sample_text_4127
05f2b8be-c6d0-4744-1ab0-7d87c8e9575c,2025-11-18T03:59:48.976Z,2026-01-23T02:45:38.705Z,aed83b90-feeb-480d-e57c-176768104c81,false,masked_5hei9o@example.com,642.98,897,221,613.78,false,false,false,true,true,sample_text_9859
98140754-49e9-4d55-edab-92b4ac4c972c,2026-04-08T08:37:42.909Z,2025-06-19T21:54:41.394Z,7006fd96-e3f8-4225-33e4-be34d610ffbb,false,masked_lp9qbr@example.com,370.44,92,795,611.4,true,false,true,false,true,sample_text_7471
9a1366d7-7abd-4eda-f233-841c544aa671,2025-09-13T20:09:37.478Z,2026-01-21T08:02:51.684Z,f56bd850-ae1d-4c12-1f67-ecd289df1620,true,masked_9fdsoo@example.com,509.14,447,481,66.71,false,true,true,false,false,sample_text_1712
8d27e9b1-7413-4da3-18db-9c003b8b631b,2025-11-29T15:29:45.941Z,2025-07-31T10:10:56.721Z,921679af-a07e-442d-b254-00f81e5f665d,false,masked_9y74ip@example.com,479.74,388,170,271.71,true,true,false,true,true,sample_text_4639
adc09dd4-2f11-48f7-434f-c563443f2316,2025-09-01T13:43:20.606Z,2026-03-13T05:12:11.074Z,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,false,masked_76gdom@example.com,934.92,539,592,942.55,false,false,true,true,false,sample_text_8303
6629cce5-d254-49c6-d986-a4776e11d264,2025-09-30T19:24:45.910Z,2026-04-01T00:53:46.739Z,c8bf5171-97bd-4a3c-df89-c4059e1474e2,false,masked_jbqi6a@example.com,659.75,402,47,522.24,false,true,true,true,false,sample_text_3282
a0791132-dee9-4c94-d76e-48d9261ba8ae,2025-04-27T05:51:44.199Z,2025-12-28T23:01:02.961Z,545d1106-2b34-4e12-24da-7673253ca1d7,true,masked_h8ctjj@example.com,108.62,757,306,585.52,true,true,false,false,true,sample_text_6006
b0b25a8c-ea2d-4fb6-7613-8aa7e1872634,2025-10-03T22:25:17.332Z,2026-03-11T14:00:34.147Z,2e842555-494e-4eac-25b2-d2a4430cc9ed,true,masked_o4rgkb@example.com,95.31,724,447,468.03,true,true,true,true,false,sample_text_8085
342b9175-1400-4739-7449-0f0fbdaab842,2025-05-08T22:28:39.043Z,2025-04-19T03:54:13.051Z,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,true,masked_0o2rre@example.com,451.5,151,536,397.16,true,false,false,false,true,sample_text_1313
ffb8dec6-f6e8-44e8-9794-3f77b35d60a1,2025-05-11T05:41:18.387Z,2025-09-15T06:41:38.702Z,e112e16e-d7d4-47de-a1f6-038db1f702ae,true,masked_s7gr0k@example.com,338,487,490,472.1,true,true,false,false,false,sample_text_7881
48ca51a6-e205-42c5-1487-9d4776666664,2026-01-24T07:12:03.604Z,2025-04-24T01:54:18.515Z,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,false,masked_zjutu9@example.com,22.09,648,206,564.76,false,false,true,false,false,sample_text_8084
d5278091-a0f5-4a4f-41d9-eb60df8efbee,2025-12-04T20:45:18.972Z,2025-12-20T23:25:30.099Z,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,false,masked_5tyqxn@example.com,960.06,561,930,252.4,true,true,true,false,true,sample_text_9543
2b305109-bdc7-4132-6207-5036dffe10d2,2026-03-18T17:14:27.577Z,2025-04-22T17:00:06.798Z,f0fe80e2-ee98-4631-fd46-bedaa4937130,true,masked_4hftje@example.com,699.58,31,688,507.78,true,false,true,true,false,sample_text_6147
70d09b66-d340-4693-8c31-c2284c9ce60c,2025-09-10T03:58:12.226Z,2026-01-14T19:27:51.998Z,521d1584-627e-495f-893e-82a12f5344be,false,masked_fu8msg@example.com,412.02,476,431,380.33,true,false,true,false,false,sample_text_7075
beca39cb-56af-42ad-4b28-667d37c4a867,2025-05-11T08:48:55.243Z,2026-01-29T13:20:21.165Z,c41be56c-1b03-4f83-3798-7ff82c84c273,false,masked_bxi49h@example.com,469.73,317,942,462.34,false,false,false,false,false,sample_text_7748
a756e093-bd53-4483-b9eb-f8d63e0fc4f4,2026-03-03T15:59:14.641Z,2025-06-29T16:02:05.865Z,24557b57-0c13-4c0c-a3e9-39903a1a94a3,false,masked_tyb2dp@example.com,523.77,811,63,721.69,true,true,true,true,false,sample_text_7737
17bffb27-826b-400c-a585-95a9d1d214bd,2025-05-20T19:18:33.565Z,2026-03-10T00:42:39.033Z,e112e16e-d7d4-47de-a1f6-038db1f702ae,true,masked_lglmjv@example.com,802.64,430,591,841.15,false,true,true,true,true,sample_text_6094
b6f1285b-ff35-4c85-cce9-8270878d6f8e,2025-05-16T01:13:13.439Z,2025-06-09T06:51:56.400Z,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,true,masked_sl0285@example.com,96.89,141,867,201.7,true,true,false,false,true,sample_text_9429
4470e844-b84a-4667-1b43-ac4e8bef7cf6,2025-10-03T05:32:49.093Z,2026-02-22T15:23:51.629Z,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,false,masked_ijtfj3@example.com,871.26,63,662,301.03,true,true,false,false,false,sample_text_3814
130f667e-b2b4-442a-d281-85c1e700b745,2025-09-29T07:37:28.236Z,2026-03-24T23:43:00.063Z,b9a92613-a49f-49ac-02ac-12389b77c55c,true,masked_nj63bh@example.com,890.93,851,161,401.52,true,false,false,true,false,sample_text_2202
