id,created_at,updated_at,slug,name,legal_name,domain,logo_url,primary_color,secondary_color,accent_color,subscription_tier,subscription_status,trial_ends_at,bigquery_dataset_id,clever_district_id,classlink_tenant_id,timezone,academic_year_start_month,contact_email,contact_phone,address,authorizer_id,is_active,metadata,stripe_customer_id,stripe_subscription_id,current_period_start,current_period_end,cancel_at_period_end,canceled_at,student_count
3f4d6f7d-05f7-4310-de9f-ae93e46984db,2026-04-05T00:41:27.669Z,2025-08-25T09:12:18.181Z,stem-scholars,Academy Charter School,sample_text_1122,sample_text_2970,sample_text_3159,sample_text_3814,sample_text_7095,sample_text_1755,starter,trialing,2025-10-11T15:29:35.962Z,sample_text_2641,sample_text_9974,sample_text_8249,sample_text_1205,324,masked_p80wau@example.com,555-000-3099,123 Masked St,4cc9d6a8-8b2d-4897-ac9b-5dd5da304dd5,false,sample_text_6848,sample_text_4370,sample_text_441,2025-08-02T08:59:48.000Z,2025-09-09T02:04:27.525Z,true,2025-10-14T16:32:49.227Z,1899
545d1106-2b34-4e12-24da-7673253ca1d7,2025-04-21T20:25:48.500Z,2026-01-20T10:54:04.111Z,stem-scholars,STEM Scholars Charter,sample_text_345,sample_text_3189,sample_text_7885,sample_text_8527,sample_text_475,sample_text_6852,starter,active,2025-04-17T00:46:20.356Z,sample_text_696,sample_text_877,sample_text_8603,sample_text_2005,23,masked_er6owk@example.com,555-000-5823,123 Masked St,e5ead09e-316d-4ec3-042a-fbe97f5fc918,false,sample_text_6327,sample_text_232,sample_text_7969,2026-01-16T11:37:54.552Z,2025-10-22T00:42:47.810Z,false,2026-03-17T02:01:19.447Z,4256
661bcb95-f84e-4871-e1c4-675bf8171439,2026-03-16T13:40:59.738Z,2025-07-25T08:39:01.801Z,academy-charter,Academy Charter School,sample_text_6278,sample_text_2813,sample_text_5264,sample_text_9841,sample_text_262,sample_text_1231,pro,active,2026-01-15T22:55:43.612Z,sample_text_4718,sample_text_8098,sample_text_6993,sample_text_5839,401,masked_ijc8ql@example.com,555-000-0680,123 Masked St,d962a985-97c1-4121-01df-708a28fb2ac0,false,sample_text_7019,sample_text_4537,sample_text_4687,2025-09-11T04:46:08.991Z,2026-02-09T05:41:14.194Z,false,2025-11-24T13:02:58.503Z,8175
469af544-bb26-4d4c-4b28-ab15c4812991,2025-12-07T15:35:58.867Z,2025-10-27T12:03:48.107Z,academy-charter,STEM Scholars Charter,sample_text_6882,sample_text_4432,sample_text_2794,sample_text_6867,sample_text_1422,sample_text_2046,enterprise,trialing,2026-01-14T13:29:41.451Z,sample_text_1490,sample_text_5821,sample_text_4803,sample_text_2791,71,masked_fm8xcu@example.com,555-000-1854,123 Masked St,804152e2-a6ea-43a0-6a37-310de14257a5,false,sample_text_7371,sample_text_461,sample_text_1667,2026-03-06T13:00:02.512Z,2025-04-21T15:11:25.937Z,false,2025-11-26T15:40:50.081Z,6137
5eca5363-069f-462b-ef13-7dba299c99d9,2025-04-23T08:57:41.518Z,2026-01-09T00:13:39.068Z,stem-scholars,Academy Charter School,sample_text_9024,sample_text_2945,sample_text_2392,sample_text_8579,sample_text_5141,sample_text_5257,pro,active,2025-12-18T06:32:25.018Z,sample_text_5215,sample_text_6614,sample_text_3008,sample_text_8995,766,masked_3usqog@example.com,555-000-0024,123 Masked St,cf6ecf6f-24e7-4b3e-1f25-19e78b45f151,false,sample_text_1252,sample_text_3306,sample_text_6278,2025-06-08T06:08:46.821Z,2025-08-08T00:17:11.188Z,false,2025-11-26T09:52:09.721Z,6999
baeb778f-0236-4ea0-497b-a0d46e5c6619,2025-11-24T05:10:37.521Z,2025-11-02T14:40:06.856Z,innovation-prep,Academy Charter School,sample_text_301,sample_text_8477,sample_text_3758,sample_text_9707,sample_text_6466,sample_text_7547,enterprise,active,2025-06-09T17:22:08.739Z,sample_text_5850,sample_text_7759,sample_text_7712,sample_text_2004,855,masked_zunbvv@example.com,555-000-4895,123 Masked St,804152e2-a6ea-43a0-6a37-310de14257a5,false,sample_text_2617,sample_text_5656,sample_text_9026,2026-02-08T04:51:32.637Z,2025-08-05T17:30:15.603Z,false,2026-02-08T22:57:24.213Z,4569
76fb7096-3d5c-4180-3013-e7a55c8b02bb,2025-10-21T01:09:23.922Z,2025-05-23T18:00:13.752Z,innovation-prep,Academy Charter School,sample_text_3706,sample_text_7273,sample_text_5380,sample_text_8812,sample_text_3178,sample_text_9287,pro,active,2025-08-10T22:59:20.739Z,sample_text_4894,sample_text_9424,sample_text_3587,sample_text_1871,705,masked_rp5slr@example.com,555-000-3683,123 Masked St,fdbfe40b-3e1e-40b5-3970-f730e4bd66aa,false,sample_text_1886,sample_text_3586,sample_text_4523,2026-03-31T23:23:01.483Z,2025-10-21T08:51:27.136Z,true,2025-06-17T11:05:10.522Z,5680
73370ee3-24e1-494c-b530-e79710873eeb,2025-05-19T08:29:19.807Z,2025-07-05T19:31:59.832Z,innovation-prep,STEM Scholars Charter,sample_text_6726,sample_text_4825,sample_text_9526,sample_text_8346,sample_text_2204,sample_text_8482,enterprise,active,2025-06-20T15:42:34.387Z,sample_text_1765,sample_text_3425,sample_text_2705,sample_text_6392,576,masked_vsdc4l@example.com,555-000-0397,123 Masked St,117e3f24-bb0b-4363-ec37-669c2aa3bb19,true,sample_text_5110,sample_text_5311,sample_text_9528,2025-11-28T00:50:12.633Z,2025-11-27T06:06:40.183Z,true,2025-06-05T12:09:35.310Z,4456
fecc715c-91cf-4144-4e6d-27d53565cfa5,2025-05-26T23:21:37.870Z,2025-04-14T19:35:12.769Z,academy-charter,STEM Scholars Charter,sample_text_3185,sample_text_5414,sample_text_3226,sample_text_1911,sample_text_6712,sample_text_7952,enterprise,trialing,2025-08-09T16:33:29.730Z,sample_text_1223,sample_text_9251,sample_text_2748,sample_text_1755,478,masked_4uyzkc@example.com,555-000-1098,123 Masked St,51ffb38c-ed0c-4313-dad4-96ac1756bae5,true,sample_text_7590,sample_text_4499,sample_text_8322,2025-11-24T09:18:07.472Z,2025-11-06T15:56:58.605Z,false,2025-04-23T06:08:20.358Z,616
2d706e75-fd47-4d6b-cc14-10a1bf804d62,2025-07-04T02:20:31.139Z,2025-12-22T22:33:42.220Z,academy-charter,Innovation Prep Academy,sample_text_970,sample_text_1714,sample_text_96,sample_text_4355,sample_text_128,sample_text_3469,pro,active,2025-09-26T09:10:14.152Z,sample_text_5400,sample_text_6858,sample_text_9197,sample_text_4583,243,masked_ulaqm9@example.com,555-000-2471,123 Masked St,3b9b7b79-7627-447c-7025-c04cec0433c0,true,sample_text_9308,sample_text_3896,sample_text_9480,2025-10-31T14:26:25.921Z,2026-03-22T11:50:10.304Z,true,2025-04-22T10:16:00.112Z,8993
