id,student_id,school_id,attendance_rate,attendance_trend,days_absent_last_30,chronic_absence_flag,gpa_current,gpa_trend,math_assessment_pct,reading_assessment_pct,assessment_trend,proficiency_level,growth_percentile,missing_assignment_rate,missing_assignments_count,total_assignments_count,assignment_trend,behavior_incident_count,behavior_incident_trend,suspensions_count,engagement_score,data_completeness,last_sis_sync,last_lms_sync,last_assessment_sync,computed_at,created_at,updated_at
eed36017-e668-4526-c063-3475f96af575,ef30f378-ae06-4200-e466-b63a46dd4365,c41be56c-1b03-4f83-3798-7ff82c84c273,78.18,685.22,14,true,30.18,657.51,639,183,459.99,20.15,508,57.6,1012,7114,854.57,6127,893.72,9596,564.54,708.79,2025-10-12T19:06:48.565Z,2025-12-04T04:02:44.195Z,2025-08-20T08:30:30.859Z,2025-09-22T15:59:22.944Z,2025-05-10T05:57:39.758Z,2025-09-04T02:13:31.437Z
6c16fbd6-a9ca-43b3-d163-fc8514f74c2e,8a50d483-aa92-4384-4deb-3d5c6bf0f0f7,b017f20d-2b75-45dd-64d2-722f145a78d0,68.23,368.6,964,false,217.37,508.27,75,653,610.86,986.12,439,53.74,7531,4988,852.7,2759,945.54,8180,615.35,662.26,2025-04-21T01:53:49.115Z,2025-08-29T10:57:57.856Z,2025-04-12T08:20:38.040Z,2026-03-29T10:03:04.688Z,2025-04-21T07:32:42.653Z,2025-09-19T04:41:58.047Z
43e5e3ed-7585-401f-7fb8-b93050deba1c,fb441a9a-76af-4633-ef6e-1ccf7e88caa7,1c4d8e9f-05af-4567-fc15-60738335dd73,45.3,381.14,845,true,707.82,590.49,973,11,312.21,174.74,157,94.29,4398,6450,432.68,7751,959.21,9534,762.13,195.2,2026-03-04T15:32:00.298Z,2025-06-04T12:43:46.724Z,2025-10-30T08:51:57.269Z,2025-05-19T18:28:40.042Z,2025-11-21T07:25:48.168Z,2025-11-12T16:45:58.592Z
09bc04d2-624e-45e4-0ac2-2db8e3187375,afb57115-93e2-41e4-19fb-726afc7dc847,c41be56c-1b03-4f83-3798-7ff82c84c273,99.74,605.08,696,false,509.3,961.37,266,379,20.02,400.21,878,9.7,5797,1362,883.4,9935,20.79,1349,276.22,237.25,2026-02-28T19:02:07.216Z,2025-11-18T02:02:11.509Z,2025-09-20T17:46:14.440Z,2025-11-14T08:40:17.526Z,2025-12-31T02:52:06.483Z,2025-12-03T15:12:04.155Z
69342d59-949f-4f6c-54d8-5b59f14879d7,44e91cce-ea65-438a-461a-9f0cf86acc81,314cdd92-266e-488d-cf88-6e18f6db8ca6,36.87,916.37,530,false,63.91,313.42,857,902,668.08,378.15,376,21.79,2155,5737,534.97,7968,920.86,3135,853.11,731.45,2025-11-10T17:50:00.178Z,2025-05-10T13:39:35.930Z,2026-03-14T23:14:37.512Z,2025-04-14T18:40:50.730Z,2026-03-31T20:21:16.714Z,2025-05-10T18:22:00.119Z
9cdc2bd4-6b95-49e9-4768-451961e44496,08c9d53b-5bb4-4a4e-3e69-2fcd9679e99e,32a1daeb-123e-4dbe-b622-aea59b73722d,7.14,594.66,542,false,622.01,657.63,621,728,426.94,313.62,968,44.28,7584,8801,289.19,505,729.37,2088,581.38,699.68,2025-09-11T05:20:40.224Z,2025-08-13T21:20:16.250Z,2025-11-22T02:28:52.807Z,2026-02-28T18:41:32.513Z,2026-03-17T13:22:48.958Z,2025-10-28T08:43:00.433Z
1a0b68e1-0413-4cca-ec56-fd3aa232b84e,19b0ce65-5cea-46af-9685-0855cb090984,fecc715c-91cf-4144-4e6d-27d53565cfa5,69.54,824.03,596,false,405.27,782.28,671,240,124.73,772.3,389,23.71,1297,37,230.9,3716,737.8,7352,637.76,82.72,2025-04-29T18:46:53.227Z,2025-07-29T02:54:43.983Z,2026-03-01T02:52:40.380Z,2025-06-28T10:48:40.208Z,2025-10-10T12:17:24.741Z,2026-02-02T04:26:54.675Z
baf16394-e58e-40b4-1647-f7e0e6486c46,83c0f5a4-11a8-4b1f-5064-e6047d878674,59faa8f0-e266-467f-aa62-7fd97008cad7,20.26,833.95,397,false,607.63,295.57,751,201,146.85,972.26,562,21.85,3352,685,833.47,1279,428.97,8163,666.66,723.05,2026-02-27T03:57:21.111Z,2025-08-26T09:29:56.830Z,2026-03-29T17:51:47.473Z,2025-07-08T12:56:55.976Z,2025-08-26T12:50:47.945Z,2025-12-01T06:11:51.466Z
14a58292-7672-4e3d-5cc4-24244b839ae0,49c0f8d8-fcc1-4c41-a548-3ff914a66692,2d706e75-fd47-4d6b-cc14-10a1bf804d62,80.74,90.1,407,false,575.04,38.54,133,244,385.76,592.97,798,31.81,4769,3205,581.53,2442,221.9,6871,424.76,860.15,2025-08-12T00:42:55.719Z,2025-05-19T21:01:35.673Z,2025-08-18T12:58:50.667Z,2025-09-14T20:51:12.399Z,2025-09-19T20:38:16.697Z,2025-11-16T02:36:27.007Z
795b04ab-9869-422a-abde-090f65c34c8e,44e96aef-1775-4e8c-e285-02e0cadba8e3,00e48b05-b6cb-410f-1525-6668c44bdb40,0.13,649.37,271,true,827.99,496.55,595,587,554.94,318.03,599,49.94,1176,5213,193.44,5636,533.74,1716,964.96,579.07,2025-09-10T03:55:43.362Z,2026-04-04T17:24:16.221Z,2025-07-18T08:10:03.198Z,2026-04-09T23:12:34.039Z,2025-05-02T13:15:39.282Z,2025-08-05T03:27:17.127Z
62cc70ec-bef7-4e95-2ae0-015b6328a5af,0519f110-4080-47f1-0e4d-53c0e3b18659,291d99ad-c85c-4557-8915-25527607d5cf,81.04,518.46,119,true,157.11,330.13,542,711,328.29,153.79,49,3.46,2643,6353,55.55,9570,499.11,4293,29.02,205.95,2026-03-10T02:09:52.054Z,2025-08-16T21:47:07.445Z,2025-07-25T07:46:58.691Z,2025-11-04T06:13:02.581Z,2025-12-19T09:56:09.611Z,2025-11-24T20:32:20.620Z
8ee4d9b1-3ef2-4a89-4334-74b1472ca6a2,dc5c38cd-11bd-4d48-b540-0659ffe8f55b,291d99ad-c85c-4557-8915-25527607d5cf,9.94,445.61,853,false,626.8,244.21,998,322,782.58,427.98,731,76.47,4576,4174,975.47,7134,711.29,5453,424.98,947.41,2025-09-23T03:07:45.720Z,2026-01-01T11:14:13.894Z,2026-02-01T15:36:57.461Z,2026-02-03T22:15:22.091Z,2025-09-02T05:20:12.299Z,2025-10-02T10:01:38.277Z
591766e6-f158-4cf5-7a29-354b846c866c,0e77db3f-7cdc-48b3-e10c-c05d74f5b464,f902ac6e-7076-46f8-2ee0-d0970401682b,41.25,161.49,893,false,39.43,793.26,789,63,314.03,210.47,668,76.37,2670,3702,805.05,7886,37.78,2589,528.49,24.26,2025-10-04T10:34:55.260Z,2025-07-27T18:04:15.570Z,2025-09-23T09:43:12.179Z,2025-09-04T23:33:45.249Z,2026-02-09T19:30:20.523Z,2025-05-11T20:14:47.907Z
