id,created_at,school_id,data_source_id,sync_type,started_at,completed_at,status,error_message,records_processed,records_created,records_updated,records_deleted,records_skipped,details,errors,triggered_by,triggered_by_user_id,duration_ms
df5565bb-2667-462c-d0b0-3b3a3a352f58,2025-09-12T12:00:54.744Z,73370ee3-24e1-494c-b530-e79710873eeb,a5633500-6373-4169-7d21-5b951a759811,sample_text_2922,2025-10-29T23:13:00.604Z,2026-01-15T01:12:03.713Z,sample_text_4102,sample_text_4485,500,666,317,844,816,sample_text_7725,sample_text_4016,sample_text_1440,ea49fb72-2050-42e2-81c3-091e5dbcc276,367
3a654a17-100c-4da9-6e62-269339684f7a,2025-10-25T23:36:18.798Z,16c0f045-ad9e-4d23-8922-374a2534b914,5abeea08-009e-4c2d-c3a4-e50362454af1,sample_text_1699,2025-08-19T04:47:22.581Z,2025-12-16T23:13:01.966Z,sample_text_515,sample_text_8628,841,847,763,721,705,sample_text_4510,sample_text_1517,sample_text_64,1f944d7a-c145-4606-b226-ca59addffefd,633
57e8f138-3687-48ca-5af1-1682791f61b2,2025-06-30T13:20:25.577Z,219980cb-3f77-4414-faeb-5f70b1472a36,c621882d-c814-439b-fe15-b3a7f4d81679,sample_text_8554,2026-02-06T23:40:07.365Z,2025-10-16T12:30:22.262Z,sample_text_5760,sample_text_9619,45,331,173,120,580,sample_text_2921,sample_text_6015,sample_text_9494,91481a49-39f6-4c85-9a87-3de01f285177,81
225ab58a-79bd-4971-3736-a1f09a011f21,2025-06-10T18:37:17.396Z,c0b731c7-72d6-4cbc-7d82-0603fe27478a,f91a5c51-3df4-48c0-c267-500a42d5dc6f,sample_text_1493,2025-10-17T02:37:51.693Z,2025-05-24T19:19:51.846Z,sample_text_6885,sample_text_5527,76,482,589,496,679,sample_text_12,sample_text_9672,sample_text_9438,cf7e2aea-c07d-4ed1-1fc0-69c3d64d741c,47
a281d10c-ef10-44cb-e0c0-7a7b9fe5248c,2026-01-08T01:44:06.249Z,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,909260b9-185e-4ce7-db55-59790433a4e8,sample_text_6720,2026-02-10T07:29:42.561Z,2025-07-12T18:54:57.867Z,sample_text_8148,sample_text_8702,951,174,82,991,540,sample_text_122,sample_text_1049,sample_text_6082,b19a9a30-5bc1-42f9-ac14-0842a27abbe0,615
4ed154a4-2a2c-4bd9-0e27-f44375409d0c,2026-01-29T01:41:57.667Z,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,9033d54d-adb8-4c3c-8e00-6b1e7edb2d23,sample_text_5147,2025-12-10T08:32:35.026Z,2025-04-25T23:19:34.202Z,sample_text_1385,sample_text_7851,442,413,978,725,799,sample_text_2573,sample_text_8795,sample_text_6165,6cd68fef-f7ed-4b57-a09f-e6e7ee2302bd,741
6cac6c0b-370b-4c24-4b6f-b7476681bd35,2025-06-22T13:35:22.453Z,32a1daeb-123e-4dbe-b622-aea59b73722d,c19aa16e-fa66-4f77-16fc-deabf85c047f,sample_text_3141,2026-03-07T16:12:19.848Z,2025-06-02T22:23:48.479Z,sample_text_8956,sample_text_9719,572,113,823,534,689,sample_text_2905,sample_text_1530,sample_text_1751,5b22fa71-538f-4f40-5599-52754e6eb443,26
7e102371-93d8-42b0-424c-86590c1aabe1,2025-08-22T10:11:50.235Z,615ffcad-04ca-4584-4505-45cbefd50d58,c4141f97-5e27-4b33-0bf4-2f27d4da5d15,sample_text_2987,2025-07-12T13:37:22.441Z,2025-09-19T19:41:35.177Z,sample_text_5667,sample_text_2069,473,467,833,481,73,sample_text_8269,sample_text_5579,sample_text_8123,d686c193-7466-44fb-b1a6-37325154df4c,898
76a78e1c-8354-496f-cb9f-e08a8193a667,2026-03-23T01:14:16.264Z,94519cc1-bdc7-4549-769e-8964efcea7c6,99802c72-29db-46cc-83bb-cfbff82cd086,sample_text_2108,2025-11-09T02:27:46.877Z,2025-10-19T08:12:50.951Z,sample_text_4818,sample_text_5359,882,56,675,880,411,sample_text_337,sample_text_1041,sample_text_1111,234b0627-79ac-4de2-9e5f-3deaab1f438f,806
72413c25-8975-4826-cca0-108742615920,2025-07-30T12:56:48.653Z,baeb778f-0236-4ea0-497b-a0d46e5c6619,77c70c39-68bc-4a57-3bd4-94ff6fa9c20f,sample_text_5452,2026-03-30T23:41:31.309Z,2026-03-02T00:29:42.234Z,sample_text_6554,sample_text_9627,486,858,787,549,321,sample_text_5598,sample_text_3156,sample_text_4654,b68d9d85-277a-4f14-1564-cbb9598388f9,667
a9917c06-6241-4e88-6e5b-403c96d00b7a,2026-03-16T00:54:30.890Z,921679af-a07e-442d-b254-00f81e5f665d,b1ae47bd-a9cc-4452-cc1f-6e8a2d2cdd9e,sample_text_5141,2025-10-20T01:02:54.909Z,2025-08-19T19:00:52.491Z,sample_text_7679,sample_text_1603,952,29,899,846,190,sample_text_1057,sample_text_1779,sample_text_5365,cb8fa579-1a0f-4b56-d0df-17115e069361,455
b5af9160-2b0e-42c0-659e-72891387d2e4,2025-07-08T23:45:29.165Z,219980cb-3f77-4414-faeb-5f70b1472a36,edfa7eba-68e3-43d2-6209-06391e3461d3,sample_text_2061,2026-04-02T01:10:21.030Z,2026-01-12T17:06:39.544Z,sample_text_8848,sample_text_9828,173,801,400,136,291,sample_text_5596,sample_text_8874,sample_text_8917,8a0aa082-f148-423d-fd6f-c28d86c0215a,496
