id,created_at,updated_at,user_id,email_notifications,push_notifications,digest_frequency,alert_critical_students,alert_attendance_drops,alert_assessment_results,alert_intervention_updates,alert_system_updates,theme,compact_mode,show_student_photos,default_dashboard,date_format,number_format,reduce_motion,high_contrast,share_usage_data,custom_preferences
ce4c6285-75b6-470f-e408-e7af296a931c,2026-01-15T18:55:58.669Z,2025-06-19T13:59:37.072Z,6a49f986-fadb-4bcd-512c-c56d68c9b08b,true,false,sample_text_9777,false,false,true,false,true,sample_text_5849,true,false,sample_text_7629,sample_text_1094,sample_text_9215,false,false,false,sample_text_4262
869f57cb-4a3c-4252-3bf6-6db9cd873d1b,2025-05-30T23:35:27.840Z,2026-04-10T14:22:47.846Z,9b6a74d9-b351-48c9-fd99-3ea43ff586df,true,true,sample_text_4339,true,true,false,false,true,sample_text_1735,false,false,sample_text_8423,sample_text_7387,sample_text_3809,false,true,false,sample_text_3833
58fb8e7c-1c44-4623-3f29-5e787668ebef,2025-06-26T12:40:17.572Z,2025-09-02T06:37:34.570Z,0a5b5544-8433-485d-8477-4051a66c59da,true,false,sample_text_2165,true,true,true,true,true,sample_text_6996,false,true,sample_text_302,sample_text_6590,sample_text_3021,false,false,false,sample_text_374
52f6d446-633f-4436-0a19-8ab2ff082bb0,2025-08-03T04:02:42.473Z,2025-07-15T20:12:12.437Z,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,true,false,sample_text_408,false,true,true,false,false,sample_text_4724,true,false,sample_text_5562,sample_text_3447,sample_text_9435,true,true,false,sample_text_4451
7673586c-e43d-4cb0-c155-c0fe70e39f71,2026-02-20T01:44:16.824Z,2025-10-13T06:39:36.240Z,8ac01f7d-9c30-4771-a900-d8fc5dd68b28,false,true,sample_text_7118,false,false,false,false,false,sample_text_240,true,false,sample_text_7850,sample_text_8451,sample_text_1360,false,false,true,sample_text_4621
51c01500-f439-4909-10b7-05cb9941c81e,2025-09-13T21:38:22.860Z,2025-11-23T16:58:17.159Z,ea49fb72-2050-42e2-81c3-091e5dbcc276,true,false,sample_text_5860,true,false,true,false,true,sample_text_6071,true,false,sample_text_2890,sample_text_3819,sample_text_4948,false,true,false,sample_text_6668
136fe6f7-a218-44aa-9f82-e3be00572bd8,2025-05-23T00:56:27.280Z,2025-08-17T10:02:30.320Z,6cd68fef-f7ed-4b57-a09f-e6e7ee2302bd,false,true,sample_text_3862,false,true,false,true,false,sample_text_2670,true,false,sample_text_870,sample_text_4092,sample_text_821,true,true,false,sample_text_167
839f1cbd-3509-4573-c27a-aeb5ef7da96d,2026-03-10T10:06:20.302Z,2025-05-21T09:42:55.668Z,8ac01f7d-9c30-4771-a900-d8fc5dd68b28,true,false,sample_text_4233,true,false,true,true,false,sample_text_7972,false,false,sample_text_9375,sample_text_165,sample_text_3327,false,false,false,sample_text_8350
7aca16a9-5cbf-4711-ccf2-c3c02841c5f6,2025-06-16T01:50:11.944Z,2025-07-18T16:03:55.952Z,6601188e-454e-46f8-39d3-12e3a2450d73,true,true,sample_text_9630,true,false,true,true,false,sample_text_6968,true,true,sample_text_2824,sample_text_4265,sample_text_6700,true,true,false,sample_text_2276
cf339159-b561-489e-9b47-eb4cc8908dc4,2026-03-12T07:49:15.148Z,2025-12-16T08:13:16.692Z,760e9861-7716-4fc7-6676-f5213f248cda,true,false,sample_text_2018,false,true,false,true,false,sample_text_549,false,true,sample_text_3689,sample_text_5328,sample_text_4908,true,false,false,sample_text_6915
